test,vulkan,vulkan-fixed,vulkan-update,
,,,,
2-background-mp-semsc-a,FAIL,FAIL,FAIL,Figure 1a
2-background-mp-semsc-b,PASS,PASS,PASS,Figure 1b
2-background-mp-semsc-c,FAIL,FAIL,FAIL,Figure 1c
,,,,
2-background-mp-avvis-a,PASS,PASS,PASS,Figure 2a
2-background-mp-avvis-b,FAIL,FAIL,FAIL,Figure 2b
,,,,
3.1-problem-semsc-mp-a,PASS,PASS,PASS,
3.1-problem-semsc-mp-b,FAIL,PASS,PASS,Figure 5a
3.1-problem-semsc-mp-c,FAIL,FAIL,FAIL,
3.1-problem-semsc-mp-fences-a,PASS,PASS,PASS,
3.1-problem-semsc-mp-fences-b,PASS,PASS,PASS,Figure 5b
3.1-problem-semsc-mp-fences-c,FAIL,FAIL,FAIL,
,,,,
3.1-x-problem-semsc-lb-a,PASS,PASS,PASS,
3.1-x-problem-semsc-lb-b,FAIL,PASS,PASS,Figure 14a
3.1-x-problem-semsc-lb-c,FAIL,PASS,PASS,
3.1-x-problem-semsc-lb-c-acqrel,FAIL,PASS,PASS,
3.1-x-problem-semsc-lb-d,PASS,PASS,PASS,Figure 14b
3.1-x-problem-semsc-lb-d-acqrel,PASS,PASS,PASS,
3.1-x-problem-semsc-lb-fence-a,PASS,PASS,PASS,
3.1-x-problem-semsc-lb-fence-b,FAIL,PASS,PASS,
,,,,
3.1-x-problem-semsc-mp-a,PASS,PASS,PASS,
3.1-x-problem-semsc-mp-b,FAIL,PASS,PASS,
3.1-x-problem-semsc-mp-c,PASS,PASS,PASS,
3.1-x-problem-semsc-mp-fences-a,PASS,PASS,PASS,
3.1-x-problem-semsc-mp-fences-b,FAIL,PASS,PASS,
3.1-x-problem-semsc-mp-fences-c,PASS,PASS,PASS,
,,,,
3.4-problem-race-asmo3-a,FAIL,FAIL,FAIL,
3.4-problem-race-asmo3-b,FAIL,FAIL,FAIL,
3.4-problem-race-asmo3-c,FAIL,FAIL,FAIL,
,,,,
3.4-problem-race-mp3-atom-wrr,FAIL,FAIL,FAIL,
3.4-problem-race-mp3-atom-wrw,PASS,PASS,PASS,
3.4-problem-race-mp3-wrr,FAIL,FAIL,FAIL,
3.4-problem-race-mp3-wrw,PASS,PASS,PASS,
,,,,
3.4-y-problem-race-w-w-rr-a,FAIL,FAIL,FAIL,
3.4-y-problem-race-w-w-rr-b,FAIL,FAIL,FAIL,
3.4-y-problem-race-w-w-rw-a,PASS,PASS,PASS,
3.4-y-problem-race-w-w-rw-b,PASS,PASS,PASS,
,,,,
3.4-y-problem-race-r-r-w,FAIL,FAIL,FAIL,
3.4-y-problem-race-r-w-rw-a,FAIL,FAIL,FAIL,
3.4-y-problem-race-r-w-rw-b,FAIL,FAIL,FAIL,
3.4-y-problem-race-r-w-rw-c,PASS,PASS,PASS,
3.4-y-problem-race-r-w-rw-d,PASS,PASS,PASS,
3.4-y-problem-race-r-w-rw-e,FAIL,FAIL,FAIL,
3.4-y-problem-race-r-w-rw-f,PASS,PASS,PASS,
3.4-y-problem-race-r-w-rw-g,FAIL,FAIL,FAIL,
3.4-y-problem-race-r-w-rw-h,PASS,PASS,PASS,
,,,,
4-semsc-mp3,FAIL,FAIL,FAIL,
4-semsc-mp3-fail,PASS,PASS,PASS,
4-semsc-mp3-fence,FAIL,FAIL,FAIL,
4-semsc-mp3-fence-all,FAIL,FAIL,FAIL,
4-semsc-mp3-sc,FAIL,FAIL,FAIL,Figure 12
4-semsc-mp3-sc-fail,PASS,PASS,PASS,
4-semsc-mp3-sc-fence,FAIL,FAIL,FAIL,
4-semsc-mp3-sc-fence-all,FAIL,FAIL,FAIL,
,,,,
4-semsc-lb-a,FAIL,PASS,PASS,
4-semsc-lb-b,FAIL,FAIL,FAIL,
,,,,
x-barrier-a,PASS,PASS,PASS,
x-barrier-b,FAIL,FAIL,FAIL,
x-barrier-c,FAIL,FAIL,FAIL,
x-barrier-d,FAIL,FAIL,FAIL,
x-barrier-e,FAIL,PASS,PASS,
x-barrier-f,PASS,PASS,PASS,
,,,,
x-barrier-overwrite-a,PASS,PASS,PASS,
x-barrier-overwrite-b,FAIL,FAIL,FAIL,
x-barrier-overwrite-c,PASS,PASS,PASS,
x-barrier-overwrite-d,FAIL,PASS,PASS,
x-barrier-overread-a,PASS,PASS,PASS,
x-barrier-overread-b,FAIL,FAIL,FAIL,
x-barrier-overread-c,PASS,PASS,PASS,
x-barrier-overread-d,FAIL,FAIL,FAIL,
,,,,
x-sb,PASS,PASS,PASS,
x-sb-fence,PASS,PASS,PASS,
x-sb-barrier-a,FAIL,FAIL,FAIL,
x-sb-barrier-b,FAIL,FAIL,FAIL,
x-sb-barrier-c,PASS,PASS,PASS,
