test,vulkan,vulkan-fixed,vulkan-update,
,,,,
2-background-avvis-chains-semav-a,FAIL,FAIL,FAIL,Figure 3a
2-background-avvis-chains-semav-b,FAIL,FAIL,FAIL,Figure 3b
2-background-avvis-chains-semvis-a,FAIL,FAIL,FAIL,
2-background-avvis-chains-semvis-b,FAIL,FAIL,FAIL,
,,,,
3.2-problem-avvis-a,PASS,PASS,PASS,Figure 6a
3.2-problem-avvis-b,FAIL,PASS,PASS,Figure 6b
3.2-problem-avvis-c,FAIL,PASS,PASS,
,,,,
3.2-x-problem-chains-avvis-5-th-a,PASS,PASS,PASS,
3.2-x-problem-chains-avvis-5-th-b,FAIL,PASS,PASS,
3.2-x-problem-chains-avvis-5-th-c,PASS,PASS,PASS,
3.2-x-problem-chains-avvis-5-th-d,FAIL,PASS,PASS,
3.2-x-problem-chains-avvis-5-th-e,PASS,PASS,PASS,
,,,,
3.2-x-problem-chains-chain-av-a,PASS,PASS,PASS,
3.2-x-problem-chains-chain-av-b,FAIL,PASS,PASS,
3.2-x-problem-chains-chain-av-c,PASS,PASS,PASS,
3.2-x-problem-chains-chain-av-d,FAIL,PASS,PASS,
3.2-x-problem-chains-chain-vis-a,PASS,PASS,PASS,Figure15a
3.2-x-problem-chains-chain-vis-b,FAIL,PASS,PASS,Figure15b
3.2-x-problem-chains-chain-vis-c,PASS,PASS,PASS,Figure15c
3.2-x-problem-chains-chain-vis-d,FAIL,PASS,PASS,Figure15d
,,,,
3.2-y-problem-chains-chain-av-a,FAIL,PASS,PASS,
3.2-y-problem-chains-chain-av-b,PASS,PASS,PASS,
3.2-y-problem-chains-chain-vis-a,FAIL,PASS,PASS,
3.2-y-problem-chains-chain-vis-b,PASS,PASS,PASS,
,,,,
3.2-z-problem-chains-chain-av-a,PASS,PASS,PASS,
3.2-z-problem-chains-chain-av-b,FAIL,PASS,PASS,
3.2-z-problem-chains-chain-vis-a,PASS,PASS,PASS,
3.2-z-problem-chains-chain-vis-b,FAIL,PASS,PASS,
,,,,
3.3-problem-race-both-a,FAIL,FAIL,FAIL,Figure 7
3.3-problem-race-both-b,FAIL,FAIL,FAIL,
3.3-problem-race-chain-a,FAIL,FAIL,FAIL,
3.3-problem-race-chain-b,FAIL,FAIL,FAIL,
3.3-y-problem-race-both-alt-a,FAIL,FAIL,FAIL,
3.3-y-problem-race-both-alt-b,FAIL,FAIL,FAIL,
3.3-y-problem-race-chain-alt-a,FAIL,FAIL,FAIL,
3.3-y-problem-race-chain-alt-b,FAIL,FAIL,FAIL,
,,,,
3.5-problem-chains-fence-av-a1,PASS,FAIL,FAIL,
3.5-problem-chains-fence-av-a2,FAIL,FAIL,FAIL,
3.5-problem-chains-fence-av-a3,PASS,FAIL,FAIL,Figure 9
3.5-problem-chains-fence-vis-a1,PASS,FAIL,FAIL,
3.5-problem-chains-fence-vis-a2,FAIL,FAIL,FAIL,
3.5-problem-chains-fence-vis-a3,PASS,FAIL,FAIL,
,,,,
3.7-problem-avvisinc-av-a,PASS,PASS,PASS,Figure 17a
3.7-problem-avvisinc-av-b,FAIL,PASS,PASS,Figure 17b
3.7-problem-avvisinc-vis-a,PASS,PASS,PASS,
3.7-problem-avvisinc-vis-b,FAIL,PASS,PASS,
,,,,
3-problem-vloc-av-chain-a,FAIL,FAIL,FAIL,
3-problem-vloc-av-chain-a-atom,FAIL,FAIL,FAIL,
3-problem-vloc-av-chain-b,FAIL,FAIL,FAIL,
3-problem-vloc-av-chain-b-atom,FAIL,FAIL,FAIL,
3-problem-vloc-av-chain1-a,PASS,PASS,PASS,
3-problem-vloc-av-chain1-b,FAIL,PASS,PASS,Figure 10
3-problem-vloc-av-chain1-c,PASS,PASS,PASS,
3-problem-vloc-av-chain1-d,FAIL,FAIL,FAIL,
3-problem-vloc-av-chain2-a,FAIL,PASS,PASS,
3-problem-vloc-av-chain2-b,FAIL,PASS,PASS,
3-problem-vloc-av-chain2-c,FAIL,FAIL,FAIL,
3-problem-vloc-av-chain2-d,FAIL,FAIL,FAIL,
3-problem-vloc-av-chain3-a,FAIL,PASS,PASS,
3-problem-vloc-av-chain3-b,FAIL,PASS,PASS,
3-problem-vloc-av-chain3-c,FAIL,PASS,PASS,
3-problem-vloc-av-chain3-d,FAIL,PASS,PASS,
3-problem-vloc-av-chain3-e,FAIL,PASS,PASS,
3-problem-vloc-av-chain3-f,FAIL,PASS,PASS,
3-problem-vloc-av-chain3-g,FAIL,PASS,PASS,
3-problem-vloc-av-chain3-h,FAIL,FAIL,FAIL,
3-problem-vloc-av-chain4-a,FAIL,PASS,PASS,
3-problem-vloc-av-chain4-b,FAIL,PASS,PASS,
3-problem-vloc-av-chain4-c,FAIL,PASS,PASS,
3-problem-vloc-av-chain4-d,FAIL,PASS,PASS,
3-problem-vloc-av-chain4-e,FAIL,PASS,PASS,
3-problem-vloc-av-chain4-f,FAIL,PASS,PASS,
3-problem-vloc-av-chain4-g,FAIL,FAIL,FAIL,
3-problem-vloc-av-chain4-h,FAIL,FAIL,FAIL,
3-problem-vloc-av-chain5-a,FAIL,PASS,PASS,
3-problem-vloc-av-chain5-b,FAIL,PASS,PASS,
3-problem-vloc-av-chain5-c,FAIL,PASS,PASS,
3-problem-vloc-av-chain5-d,FAIL,FAIL,FAIL,
3-problem-vloc-av-chain5-e,FAIL,PASS,PASS,
3-problem-vloc-av-chain5-f,FAIL,FAIL,FAIL,
3-problem-vloc-av-chain5-g,FAIL,FAIL,FAIL,
3-problem-vloc-av-chain5-h,FAIL,FAIL,FAIL,
3-problem-vloc-av-chain6-a,PASS,PASS,PASS,
3-problem-vloc-av-chain6-b,FAIL,FAIL,FAIL,
3-problem-vloc-av-chain6-c,PASS,PASS,PASS,
3-problem-vloc-av-chain6-d,FAIL,FAIL,FAIL,
3-problem-vloc-av-chain7-a,PASS,PASS,PASS,
3-problem-vloc-av-chain7-b,FAIL,FAIL,FAIL,
3-problem-vloc-av-chain7-c,PASS,PASS,PASS,
3-problem-vloc-av-chain7-d,FAIL,FAIL,FAIL,
3-problem-vloc-av-chain8-a,PASS,PASS,PASS,
3-problem-vloc-av-chain8-b,FAIL,FAIL,FAIL,
3-problem-vloc-av-chain8-c,FAIL,FAIL,FAIL,
3-problem-vloc-av-chain9-a,PASS,PASS,PASS,
3-problem-vloc-av-chain9-b,FAIL,FAIL,FAIL,
3-problem-vloc-av-chain9-c,FAIL,FAIL,FAIL,
3-problem-vloc-av-chain10-a,FAIL,PASS,PASS,
3-problem-vloc-av-chain10-b,FAIL,PASS,PASS,
3-problem-vloc-av-chain10-c,FAIL,FAIL,FAIL,
3-problem-vloc-av-chain11-a,PASS,PASS,PASS,
3-problem-vloc-av-chain11-b,FAIL,FAIL,FAIL,
3-problem-vloc-av-chain11-c,FAIL,FAIL,FAIL,
3-problem-vloc-av-chain11-d,FAIL,FAIL,FAIL,
3-problem-vloc-av-chain11-e,FAIL,FAIL,FAIL,
3-problem-vloc-av-chain11-f,FAIL,FAIL,FAIL,
3-problem-vloc-av-chain-sc1-a,PASS,PASS,PASS,
3-problem-vloc-av-chain-sc1-b,FAIL,PASS,PASS,
3-problem-vloc-av-chain-sc1-c,PASS,PASS,PASS,
3-problem-vloc-av-chain-sc1-d,FAIL,FAIL,FAIL,
3-problem-vloc-av-chain-sc2-a,FAIL,PASS,PASS,
3-problem-vloc-av-chain-sc2-b,FAIL,PASS,PASS,
3-problem-vloc-av-chain-sc2-c,FAIL,FAIL,FAIL,
3-problem-vloc-av-chain-sc2-d,FAIL,FAIL,FAIL,
,,,,
3-problem-vloc-vis-chain-a,FAIL,FAIL,FAIL,
3-problem-vloc-vis-chain-a-atom,FAIL,FAIL,FAIL,
3-problem-vloc-vis-chain-b,FAIL,FAIL,FAIL,
3-problem-vloc-vis-chain-b-atom,FAIL,FAIL,FAIL,
3-problem-vloc-vis-chain1-a,PASS,PASS,PASS,
3-problem-vloc-vis-chain1-b,FAIL,PASS,PASS,
3-problem-vloc-vis-chain1-c,PASS,PASS,PASS,
3-problem-vloc-vis-chain1-d,FAIL,FAIL,FAIL,
3-problem-vloc-old-vis-chain2-a,FAIL,PASS,PASS,
3-problem-vloc-old-vis-chain2-b,FAIL,FAIL,FAIL,
3-problem-vloc-old-vis-chain2-c,FAIL,PASS,PASS,
3-problem-vloc-old-vis-chain2-d,FAIL,FAIL,FAIL,
3-problem-vloc-vis-chain3-a,PASS,PASS,PASS,
3-problem-vloc-vis-chain3-b,FAIL,PASS,PASS,
3-problem-vloc-vis-chain3-c,PASS,PASS,PASS,
3-problem-vloc-vis-chain3-d,PASS,PASS,PASS,
3-problem-vloc-vis-chain3-e,FAIL,PASS,PASS,
3-problem-vloc-vis-chain3-f,FAIL,PASS,PASS,
3-problem-vloc-vis-chain3-g,PASS,PASS,PASS,
3-problem-vloc-vis-chain3-h,FAIL,FAIL,FAIL,
3-problem-vloc-old-vis-chain4-a,FAIL,PASS,PASS,
3-problem-vloc-old-vis-chain4-b,FAIL,PASS,PASS,
3-problem-vloc-old-vis-chain4-c,FAIL,PASS,PASS,
3-problem-vloc-old-vis-chain4-d,FAIL,PASS,PASS,
3-problem-vloc-old-vis-chain4-e,FAIL,FAIL,FAIL,
3-problem-vloc-old-vis-chain4-f,FAIL,PASS,PASS,
3-problem-vloc-old-vis-chain4-g,FAIL,PASS,PASS,
3-problem-vloc-old-vis-chain4-h,FAIL,FAIL,FAIL,
3-problem-vloc-old-vis-chain5-a,FAIL,PASS,PASS,
3-problem-vloc-old-vis-chain5-b,FAIL,FAIL,FAIL,
3-problem-vloc-old-vis-chain5-c,FAIL,PASS,PASS,
3-problem-vloc-old-vis-chain5-d,FAIL,PASS,PASS,
3-problem-vloc-old-vis-chain5-e,FAIL,FAIL,FAIL,
3-problem-vloc-old-vis-chain5-f,FAIL,FAIL,FAIL,
3-problem-vloc-old-vis-chain5-g,FAIL,PASS,PASS,
3-problem-vloc-old-vis-chain5-h,FAIL,FAIL,FAIL,
3-problem-vloc-vis-chain11-a,FAIL,PASS,PASS,
3-problem-vloc-vis-chain11-b,FAIL,FAIL,FAIL,
3-problem-vloc-vis-chain11-c,FAIL,FAIL,FAIL,
3-problem-vloc-vis-chain11-d,FAIL,FAIL,FAIL,
