benchmark, result, time
WRR+2W+poxxs+X.litmus, FAIL, 18
SB+poxxs.litmus, FAIL, 12
3.SB+poxxs.litmus, FAIL, 17
Z6.2+poxxs.litmus, FAIL, 14
Z6.3+poxxs.litmus, FAIL, 14
W+RWC+poxxs.litmus, FAIL, 15
Z6.1+poxxs.litmus, FAIL, 14
WRC+poxxs+X.litmus, FAIL, 16
Z6.0+poxxs.litmus, FAIL, 14
ISA2+poxxs.litmus, FAIL, 15
Z6.5+poxxs.litmus, FAIL, 14
Z6.4+poxxs.litmus, FAIL, 15
RWC+poxxs+X.litmus, FAIL, 16
MP+poxxs.litmus, FAIL, 12
2+2W+poxxs.litmus, FAIL, 11
LB+poxxs.litmus, FAIL, 12
WWC+poxxs+X.litmus, FAIL, 14
R+poxxs.litmus, FAIL, 11
S+poxxs.litmus, FAIL, 11
3.LB+poxxs.litmus, FAIL, 15
3.2W+poxxs.litmus, FAIL, 14
WRW+2W+poxxs+X.litmus, FAIL, 14
WRW+WR+poxxs+X.litmus, FAIL, 15
WRW+2W+poss.litmus, PASS, 11
RWC+dmb.sys+pos.litmus, PASS, 12
WRC+dmb.sys+pos.litmus, PASS, 11
LB+dmb.sys+pos.litmus, PASS, 9
CoRW2+dmb.sys.litmus, PASS, 8
CoWR0.litmus, PASS, 7
SB+dmb.syss.litmus, PASS, 9
2+2W+dmb.sys+pos.litmus, PASS, 8
WRC+dmb.syss.litmus, PASS, 10
LB+dmb.syss.litmus, PASS, 9
MP+pos+dmb.sys.litmus, PASS, 9
R+dmb.sys+pos.litmus, PASS, 9
WRW+2W+dmb.sys+pos.litmus, PASS, 10
CoWW+dmb.sys.litmus, PASS, 7
SB+poss.litmus, PASS, 8
CoRW1.litmus, PASS, 7
MP+dmb.syss.litmus, PASS, 9
WRR+2W+poss.litmus, PASS, 11
WRW+2W+pos+dmb.sys.litmus, PASS, 11
MP+poss.litmus, PASS, 9
MP+dmb.sys+pos.litmus, PASS, 8
WRW+WR+dmb.syss.litmus, PASS, 11
WWC+dmb.syss.litmus, PASS, 11
R+pos+dmb.sys.litmus, PASS, 9
2+2W+dmb.syss.litmus, PASS, 7
CoRR.litmus, PASS, 8
R+poss.litmus, PASS, 9
RWC+pos+dmb.sys.litmus, PASS, 10
WRC+pos+dmb.sys.litmus, PASS, 10
SB+dmb.sys+pos.litmus, PASS, 9
S+poss.litmus, PASS, 9
CoWR0+dmb.sys.litmus, PASS, 7
WRR+2W+pos+dmb.sys.litmus, PASS, 12
WRW+2W+dmb.syss.litmus, PASS, 9
2+2W+poss.litmus, PASS, 7
WWC+pos+dmb.sys.litmus, PASS, 11
WRC+poss.litmus, PASS, 9
WWC+poss.litmus, PASS, 9
LB+poss.litmus, PASS, 8
CoWW.litmus, PASS, 7
RWC+dmb.syss.litmus, PASS, 11
WRW+WR+pos+dmb.sys.litmus, PASS, 10
S+pos+dmb.sys.litmus, PASS, 9
RWC+poss.litmus, PASS, 11
CO-SBI.litmus, FAIL, 10
CoRW1+dmb.sys.litmus, PASS, 7
CoRW2.litmus, PASS, 8
S+dmb.sys+pos.litmus, PASS, 9
WRW+WR+dmb.sys+pos.litmus, PASS, 11
WRW+WR+poss.litmus, PASS, 11
R+dmb.syss.litmus, PASS, 9
S+dmb.syss.litmus, PASS, 9
WRR+2W+dmb.syss.litmus, PASS, 12
CoRR+dmb.sys.litmus, PASS, 8
WWC+dmb.sys+pos.litmus, PASS, 12
WRR+2W+dmb.sys+pos.litmus, PASS, 12
SB+dmb.sypa+pola.litmus, PASS, 8
MP+dmb.syll+dmb.st.litmus, FAIL, 8
MP+popl+dmb.st.litmus, FAIL, 8
R+popl+dmb.sypa.litmus, PASS, 8
MP+popl+dmb.ldpa.litmus, PASS, 8
LB+dmb.syal+dataap.litmus, PASS, 9
MP+dmb.syll+dmb.syaa.litmus, PASS, 8
LB+po+poap.litmus, FAIL, 8
MP+dmb.sylp+dmb.sy.litmus, PASS, 8
S+dmb.ldpl+dataal.litmus, PASS, 8
MP+dmb.sylp+dmb.ld.litmus, PASS, 8
S+dmb.sypl+dmb.stap.litmus, PASS, 8
R+dmb.sylp+dmb.stpa.litmus, FAIL, 8
MP+dmb.ld+addrpa.litmus, FAIL, 9
SB+dmb.sy+dmb.syla.litmus, PASS, 9
3.LB+data+po+po.litmus, FAIL, 9
LB+dmb.syaps.litmus, PASS, 8
MP+popl+dmb.syap.litmus, PASS, 9
MP+dmb.stll+poaa.litmus, PASS, 8
MP+poll+popa.litmus, FAIL, 9
S+dmb.ldlp+dmb.stpl.litmus, FAIL, 8
SB+dmb.ld+dmb.syla.litmus, FAIL, 8
WRW+WR+data+dmb.sy.litmus, PASS, 10
MP+dmb.ldlp+dmb.sy.litmus, FAIL, 8
MP+dmb.ldlp+poap.litmus, FAIL, 9
S+dmb.sypl+dataal.litmus, PASS, 9
MP+dmb.ldlp+dmb.ld.litmus, FAIL, 8
