benchmark, result, time
WRR+2W+poxxs+X.litmus, FAIL, 49
SB+poxxs.litmus, FAIL, 31
3.SB+poxxs.litmus, FAIL, 47
Z6.2+poxxs.litmus, FAIL, 42
Z6.3+poxxs.litmus, FAIL, 44
W+RWC+poxxs.litmus, FAIL, 44
Z6.1+poxxs.litmus, FAIL, 42
WRC+poxxs+X.litmus, FAIL, 45
Z6.0+poxxs.litmus, FAIL, 42
ISA2+poxxs.litmus, FAIL, 43
Z6.5+poxxs.litmus, FAIL, 42
Z6.4+poxxs.litmus, FAIL, 44
RWC+poxxs+X.litmus, FAIL, 44
MP+poxxs.litmus, FAIL, 30
2+2W+poxxs.litmus, FAIL, 29
LB+poxxs.litmus, FAIL, 28
WWC+poxxs+X.litmus, FAIL, 43
R+poxxs.litmus, FAIL, 29
S+poxxs.litmus, FAIL, 28
3.LB+poxxs.litmus, FAIL, 40
3.2W+poxxs.litmus, FAIL, 40
WRW+2W+poxxs+X.litmus, FAIL, 43
WRW+WR+poxxs+X.litmus, FAIL, 44
WRW+2W+poss.litmus, PASS, 27
RWC+dmb.sys+pos.litmus, PASS, 26
WRC+dmb.sys+pos.litmus, PASS, 26
LB+dmb.sys+pos.litmus, PASS, 22
CoRW2+dmb.sys.litmus, PASS, 22
CoWR0.litmus, PASS, 20
SB+dmb.syss.litmus, PASS, 23
2+2W+dmb.sys+pos.litmus, PASS, 23
WRC+dmb.syss.litmus, PASS, 26
LB+dmb.syss.litmus, PASS, 23
MP+pos+dmb.sys.litmus, PASS, 23
R+dmb.sys+pos.litmus, PASS, 23
WRW+2W+dmb.sys+pos.litmus, PASS, 27
CoWW+dmb.sys.litmus, PASS, 20
SB+poss.litmus, PASS, 22
CoRW1.litmus, PASS, 20
MP+dmb.syss.litmus, PASS, 23
WRR+2W+poss.litmus, PASS, 27
WRW+2W+pos+dmb.sys.litmus, PASS, 27
MP+poss.litmus, PASS, 23
MP+dmb.sys+pos.litmus, PASS, 23
WRW+WR+dmb.syss.litmus, PASS, 27
WWC+dmb.syss.litmus, PASS, 27
R+pos+dmb.sys.litmus, PASS, 23
2+2W+dmb.syss.litmus, PASS, 23
CoRR.litmus, PASS, 21
R+poss.litmus, PASS, 23
RWC+pos+dmb.sys.litmus, PASS, 26
WRC+pos+dmb.sys.litmus, PASS, 27
SB+dmb.sys+pos.litmus, PASS, 22
S+poss.litmus, PASS, 24
CoWR0+dmb.sys.litmus, PASS, 19
WRR+2W+pos+dmb.sys.litmus, PASS, 26
WRW+2W+dmb.syss.litmus, PASS, 25
2+2W+poss.litmus, PASS, 22
WWC+pos+dmb.sys.litmus, PASS, 25
WRC+poss.litmus, PASS, 24
WWC+poss.litmus, PASS, 27
LB+poss.litmus, PASS, 20
CoWW.litmus, PASS, 20
RWC+dmb.syss.litmus, PASS, 27
WRW+WR+pos+dmb.sys.litmus, PASS, 28
S+pos+dmb.sys.litmus, PASS, 23
RWC+poss.litmus, PASS, 27
CO-SBI.litmus, FAIL, 26
CoRW1+dmb.sys.litmus, PASS, 20
CoRW2.litmus, PASS, 22
S+dmb.sys+pos.litmus, PASS, 23
WRW+WR+dmb.sys+pos.litmus, PASS, 26
WRW+WR+poss.litmus, PASS, 26
R+dmb.syss.litmus, PASS, 23
S+dmb.syss.litmus, PASS, 23
WRR+2W+dmb.syss.litmus, PASS, 27
CoRR+dmb.sys.litmus, PASS, 21
WWC+dmb.sys+pos.litmus, PASS, 26
WRR+2W+dmb.sys+pos.litmus, PASS, 27
SB+dmb.sypa+pola.litmus, PASS, 21
MP+dmb.syll+dmb.st.litmus, FAIL, 18
MP+popl+dmb.st.litmus, FAIL, 17
R+popl+dmb.sypa.litmus, PASS, 21
MP+popl+dmb.ldpa.litmus, PASS, 21
LB+dmb.syal+dataap.litmus, PASS, 21
MP+dmb.syll+dmb.syaa.litmus, PASS, 22
LB+po+poap.litmus, FAIL, 18
MP+dmb.sylp+dmb.sy.litmus, PASS, 21
S+dmb.ldpl+dataal.litmus, PASS, 22
MP+dmb.sylp+dmb.ld.litmus, PASS, 21
S+dmb.sypl+dmb.stap.litmus, PASS, 22
R+dmb.sylp+dmb.stpa.litmus, FAIL, 18
MP+dmb.ld+addrpa.litmus, FAIL, 18
SB+dmb.sy+dmb.syla.litmus, PASS, 21
3.LB+data+po+po.litmus, FAIL, 19
LB+dmb.syaps.litmus, PASS, 21
MP+popl+dmb.syap.litmus, PASS, 21
MP+dmb.stll+poaa.litmus, PASS, 21
MP+poll+popa.litmus, FAIL, 18
S+dmb.ldlp+dmb.stpl.litmus, FAIL, 18
SB+dmb.ld+dmb.syla.litmus, FAIL, 17
WRW+WR+data+dmb.sy.litmus, PASS, 22
MP+dmb.ldlp+dmb.sy.litmus, FAIL, 17
MP+dmb.ldlp+poap.litmus, FAIL, 18
S+dmb.sypl+dataal.litmus, PASS, 21
MP+dmb.ldlp+dmb.ld.litmus, FAIL, 18
Z6.1+dmb.sy+po+dmb.sy.litmus, FAIL, 19
2+2W+dmb.stpl+po.litmus, FAIL, 18
MP+dmb.stll+addraa.litmus, PASS, 21
SB+dmb.sy+polp.litmus, FAIL, 18
S+poll+dmb.ldal.litmus, PASS, 21
LB+dmb.ldal+dataap.litmus, PASS, 21
R+dmb.sy+dmb.st.litmus, FAIL, 19
R+dmb.ldlp+popa.litmus, FAIL, 17
SB+dmb.sys.litmus, PASS, 21
MP+dmb.ldll+dmb.st.litmus, FAIL, 18
LB+dmb.stap+data.litmus, PASS, 21
LB+dmb.ldpl+dmb.ldap.litmus, PASS, 21
MP+dmb.ldll+dmb.syaa.litmus, PASS, 21
Z6.2+po+po+data.litmus, FAIL, 19
R+dmb.ldlp+dmb.stpa.litmus, FAIL, 17
R+dmb.st+dmb.stlp.litmus, FAIL, 18
2+2W+dmb.ldpl+polp.litmus, FAIL, 18
S+dmb.ldpl+dmb.stap.litmus, PASS, 23
MP+dmb.ldlp+addrpa.litmus, FAIL, 19
R+polp+dmb.ldla.litmus, FAIL, 19
S+popl+dataal.litmus, PASS, 22
S+dmb.sylp+dmb.stpl.litmus, PASS, 22
WRR+2W.litmus, FAIL, 19
WWC.litmus, FAIL, 19
MP+dmb.sylp+addrpa.litmus, PASS, 23
S+dmb.stll+dmb.stap.litmus, PASS, 21
MP+dmb.sypl+po.litmus, FAIL, 18
MP+dmb.ld+dmb.sy.litmus, FAIL, 17
MP+dmb.st+dmb.ldpa.litmus, PASS, 21
3.LB+dmb.sy+po+po.litmus, FAIL, 19
LB+dmb.sy+popl.litmus, PASS, 21
S+dmb.ldll+poal.litmus, PASS, 22
2+2W+dmb.ldpl+dmb.sy.litmus, PASS, 22
MP+dmb.st+dmb.syap.litmus, PASS, 21
MP+dmb.stpl+dmb.syaa.litmus, PASS, 21
SB+dmb.ldpa+dmb.ldlp.litmus, FAIL, 17
SB+dmb.sypa+popa.litmus, FAIL, 17
Z6.0+po+dmb.sy+dmb.sy.litmus, FAIL, 19
MP+dmb.ldll+dmb.sy.litmus, PASS, 21
MP+dmb.ldll+dmb.ld.litmus, PASS, 21
R+dmb.stll+polp.litmus, FAIL, 18
R+popl+dmb.syla.litmus, PASS, 21
R+dmb.sy+dmb.ld.litmus, FAIL, 18
SB+polp+pola.litmus, FAIL, 18
MP+dmb.stlp+addraa.litmus, PASS, 22
LB+dmb.ldap+dataap.litmus, PASS, 21
LB+dmb.st+dataal.litmus, FAIL, 17
R+dmb.sylp+dmb.stla.litmus, PASS, 21
ISA2+dmb.sy+dmb.sy+addr.litmus, PASS, 24
R+popl+po.litmus, FAIL, 18
MP+dmb.sy+dmb.ldaa.litmus, PASS, 21
SB+dmb.sy+dmb.sypa.litmus, PASS, 21
MP+dmb.ldlp+dmb.st.litmus, FAIL, 17
Z6.4+dmb.sy+dmb.sy+po.litmus, FAIL, 19
LB+dmb.syals.litmus, PASS, 21
2+2W+dmb.sypls.litmus, PASS, 22
MP+dmb.ld+dmb.ldaa.litmus, FAIL, 18
MP+dmb.sylp+dmb.st.litmus, FAIL, 18
SB+dmb.ld+dmb.sypa.litmus, FAIL, 18
LB+dmb.sypls.litmus, PASS, 21
MP+dmb.stlp+dmb.ldaa.litmus, PASS, 21
LB+dmb.ld+poal.litmus, PASS, 21
LB+dmb.syap+dataap.litmus, PASS, 21
MP+popl+dmb.sy.litmus, PASS, 21
S+dmb.st+dmb.sy.litmus, PASS, 21
MP+popl+dmb.ld.litmus, PASS, 21
S+dmb.st+dmb.ld.litmus, PASS, 21
MP+dmb.syll+dmb.sy.litmus, PASS, 22
MP+dmb.syll+dmb.ld.litmus, PASS, 19
SB+dmb.ldlp+dmb.ldla.litmus, FAIL, 17
R+dmb.ldlp+pola.litmus, FAIL, 18
MP+dmb.syll+addrpa.litmus, PASS, 22
SB+dmb.stpa+dmb.sy.litmus, FAIL, 17
MP+popl+addrpa.litmus, PASS, 21
S+dmb.ldpl+data.litmus, PASS, 22
LB+dmb.stap+dmb.stal.litmus, PASS, 21
MP+polp+dmb.ldap.litmus, FAIL, 17
2+2W+dmb.ldpl+dmb.st.litmus, PASS, 21
S+dmb.ldll+po.litmus, FAIL, 17
R+dmb.ldlp+dmb.stla.litmus, FAIL, 18
MP+dmb.ldlp+addr.litmus, FAIL, 20
MP+dmb.ld+dmb.st.litmus, FAIL, 18
MP+dmb.sylp+popa.litmus, FAIL, 17
S+dmb.stpl+datapl.litmus, PASS, 21
2+2W+dmb.ldpl+dmb.stlp.litmus, PASS, 23
R+polp+dmb.ldpa.litmus, FAIL, 19
MP+polp+dmb.sypa.litmus, FAIL, 18
LB+dmb.stpl+poap.litmus, PASS, 22
LB+dmb.ldpl+dmb.sypl.litmus, PASS, 22
MP+dmb.sy+addrap.litmus, PASS, 23
R+po+dmb.ldlp.litmus, FAIL, 18
S+dmb.stlp+poap.litmus, PASS, 22
3.LB+dmb.sy+dmb.sy+po.litmus, FAIL, 22
R+dmb.ld+polp.litmus, FAIL, 19
2+2W+dmb.sy+polp.litmus, FAIL, 18
MP+dmb.sys.litmus, PASS, 20
MP+dmb.ldll+addrpa.litmus, PASS, 23
