benchmark, result, time
ttas-5.bpl, PASS, 1701
ttas-5-acq2rx.bpl, PASS, 1570
ttas-5-rel2rx.bpl, FAIL, 685
ticketlock-3.bpl, PASS, 2730
ticketlock-3-acq2rx.bpl, PASS, 3366
ticketlock-3-rel2rx.bpl, FAIL, 1381
mutex-3.bpl, PASS, 8016
mutex-3-acq2rx-futex.bpl, PASS, 8555
mutex-3-acq2rx-lock.bpl, PASS, 8610
mutex-3-rel2rx-futex.bpl, PASS, 9039
mutex-3-rel2rx-unlock.bpl, FAIL, 3536
spinlock-5.bpl, PASS, 3255
spinlock-5-acq2rx.bpl, PASS, 2886
spinlock-5-rel2rx.bpl, FAIL, 1000
linuxrwlock-3.bpl, PASS, 1515
linuxrwlock-3-acq2rx.bpl, FAIL, 1104
linuxrwlock-3-rel2rx.bpl, FAIL, 1222
mutex_musl-3.bpl, PASS, 240234
mutex_musl-3-rel2rx-futex.bpl, PASS, 281788
mutex_musl-3-rel2rx-unlock.bpl, FAIL, 115920
mutex_musl-3-acq2rx-futex.bpl, PASS, 260850
mutex_musl-3-acq2rx-lock.bpl, PASS, 229776
mutex_musl-3-rel2rx-futex.bpl, PASS, 275560
