benchmark, result, time
ttas-5.bpl, PASS, 7477
ttas-5-acq2rx.bpl, PASS, 7422
ttas-5-rel2rx.bpl, FAIL, 1122
ticketlock-3.bpl, PASS, 18466
ticketlock-3-acq2rx.bpl, PASS, 16773
ticketlock-3-rel2rx.bpl, FAIL, 8972
mutex-3.bpl, PASS, 68788
mutex-3-acq2rx-futex.bpl, PASS, 58434
mutex-3-acq2rx-lock.bpl, PASS, 59709
mutex-3-rel2rx-futex.bpl, PASS, 63445
mutex-3-rel2rx-unlock.bpl, FAIL, 41507
spinlock-5.bpl, PASS, 16559
spinlock-5-acq2rx.bpl, PASS, 20166
spinlock-5-rel2rx.bpl, FAIL, 2044
linuxrwlock-3.bpl, PASS, 4307
linuxrwlock-3-acq2rx.bpl, FAIL, 2968
linuxrwlock-3-rel2rx.bpl, FAIL, 3102
mutex_musl-3.bpl, PASS, 1369449
