benchmark, result, time
ttas-5.bpl, PASS, 573
ttas-5-acq2rx.bpl, PASS, 492
ttas-5-rel2rx.bpl, PASS, 543
ticketlock-3.bpl, PASS, 1368
ticketlock-3-acq2rx.bpl, PASS, 1390
ticketlock-3-rel2rx.bpl, PASS, 1168
mutex-3.bpl, PASS, 1401
mutex-3-acq2rx-futex.bpl, PASS, 1289
mutex-3-acq2rx-lock.bpl, PASS, 1405
mutex-3-rel2rx-futex.bpl, PASS, 1312
mutex-3-rel2rx-unlock.bpl, PASS, 1211
spinlock-5.bpl, PASS, 808
spinlock-5-acq2rx.bpl, PASS, 789
spinlock-5-rel2rx.bpl, PASS, 810
linuxrwlock-3.bpl, PASS, 442
linuxrwlock-3-acq2rx.bpl, PASS, 483
linuxrwlock-3-rel2rx.bpl, PASS, 474
mutex_musl-3.bpl, PASS, 87747
mutex_musl-3-rel2rx-futex.bpl, PASS, 75278
mutex_musl-3-rel2rx-unlock.bpl, PASS, 78479
mutex_musl-3-acq2rx-futex.bpl, PASS, 88474
mutex_musl-3-acq2rx-lock.bpl, PASS, 92593
mutex_musl-3-rel2rx-futex.bpl, PASS, 85911
