benchmark, result, time
ttas-5.bpl, PASS, 1758
ttas-5-acq2rx.bpl, PASS, 1439
ttas-5-rel2rx.bpl, FAIL, 96
ticketlock-3.bpl, PASS, 1736
ticketlock-3-acq2rx.bpl, PASS, 1732
ticketlock-3-rel2rx.bpl, FAIL, 510
mutex-3.bpl, PASS, 1382
mutex-3-acq2rx-futex.bpl, PASS, 1476
mutex-3-acq2rx-lock.bpl, PASS, 1500
mutex-3-rel2rx-futex.bpl, PASS, 1546
mutex-3-rel2rx-unlock.bpl, FAIL, 479
spinlock-5.bpl, PASS, 1057
spinlock-5-acq2rx.bpl, PASS, 1052
spinlock-5-rel2rx.bpl, FAIL, 200
linuxrwlock-3.bpl, PASS, 572
linuxrwlock-3-acq2rx.bpl, FAIL, 246
linuxrwlock-3-rel2rx.bpl, FAIL, 129
mutex_musl-3.bpl, PASS, 24990
mutex_musl-3-acq2rx-futex.bpl, PASS, 27704
