benchmark, result, time
ttas-5.bpl, PASS, 1288
ttas-5-acq2rx.bpl, PASS, 1321
ttas-5-rel2rx.bpl, PASS, 1314
ticketlock-3.bpl, PASS, 1718
ticketlock-3-acq2rx.bpl, PASS, 1965
ticketlock-3-rel2rx.bpl, PASS, 1703
mutex-3.bpl, PASS, 1184
mutex-3-acq2rx-futex.bpl, PASS, 1166
mutex-3-acq2rx-lock.bpl, PASS, 1111
mutex-3-rel2rx-futex.bpl, PASS, 1129
mutex-3-rel2rx-unlock.bpl, PASS, 1153
spinlock-5.bpl, PASS, 949
spinlock-5-acq2rx.bpl, PASS, 822
spinlock-5-rel2rx.bpl, PASS, 915
linuxrwlock-3.bpl, PASS, 494
linuxrwlock-3-acq2rx.bpl, PASS, 539
linuxrwlock-3-rel2rx.bpl, PASS, 567
mutex_musl-3.bpl, PASS, 21059
mutex_musl-3-acq2rx-futex.bpl, PASS, 29964
