benchmark, result, time
C-coRW2+o+o.litmus, PASS, 203
C-coWR+o+o.litmus, PASS, 21
C-mp+o-o-mb-o-o+o-o-rb-o-o.litmus, PASS, 45
C-wwc+o-branch-o+o-branch-o+o.litmus, FAIL, 19
release-ordering.litmus, FAIL, 21
C-coWW+o+o.litmus, PASS, 10
C-mp+o-o+o-o.litmus, FAIL, 13
C-wo+ro-mb-ro+wo-mb-ro.litmus, PASS, 15
C-coRW1+o+o.litmus, PASS, 10
C-mp+o-o-wb-o-o+o-o-rb-o-o.litmus, PASS, 23
C-lb+o-branch-o+o-branch-o.litmus, PASS, 14
C-coRR+o-o+o.litmus, PASS, 12
C-mp+o-wb-o+o-rb+o.litmus, PASS, 13
C-wo+ro-rb-ro+wo-mb-ro.litmus, FAIL, 12
C-mp+o-wb-o+loc-rb-loc.litmus, PASS, 13
C-data-race-of-execution.litmus, PASS, 9
C-repload.litmus, PASS, 10
C-AlanStern.2018.01.11a.litmus, PASS, 16
C-propagation-and-write-races.litmus, FAIL, 13
C-tearstore.litmus, PASS, 8
C-non-conflicting-writes.litmus, FAIL, 16
C-tmpstore.litmus, PASS, 10
MP+wmbplainplain+rmbplainplain.litmus, PASS, 12
C-OOTA.litmus, PASS, 11
C-tearload.litmus, PASS, 10
C-IngoMolnar-1Cond.litmus, PASS, 12
C-RomanPenyaev-list-rcu-rr-dart-def-of-null.litmus, PASS, 48
C-RomanPenyaev-list-rcu-rr.litmus, PASS, 36
C-PaulEMcKenney-MP+o-r+ai-mb-o.litmus, PASS, 16
C-IngoMolnar-2If.litmus, PASS, 12
C-piggin-SB+samevar.litmus, PASS, 8
MP-release-acquire.litmus, FAIL, 12
C-2+2W+o-wmb-o+o-wmb-o.litmus, FAIL, 11
C-RomanPenyaev-list-rcu-rr-WA-dart-def-of-null.litmus, PASS, 50
C-BoqunFeng-membarrier.litmus, PASS, 11
C-DavidlohrBueso-sem.litmus, FAIL, 14
C-ManfredSpraul-L1G1xchgnr.litmus, FAIL, 66
C-PaulEMcKenney-S+o-sync-o+o-o.litmus, FAIL, 11
C-AlanStern-WRC+o-unlock+lock-o.litmus, PASS, 11
C-2+2W+o-r+o-r.litmus, FAIL, 10
SB-release-acquire.litmus, FAIL, 12
C-WillDeacon-AcqRelStore.litmus, FAIL, 10
C-PeterZijlstra+o-r+o-r+a-o-SB.litmus, PASS, 12
C-ManfredSpraul-L1G1xchg.litmus, PASS, 67
C-MPrelseq+o-r+rmwinc+a-o.litmus, FAIL, 13
WRC-release-acquire.litmus, FAIL, 11
LB-release-acquire.litmus, PASS, 11
C-IngoMolnar-After.litmus, FAIL, 11
C-PaulEMcKenney-S+o-sync-o+o-c-o.litmus, PASS, 11
C-IngoMolnar-2Reads.litmus, PASS, 12
C-IngoMolnar.litmus, PASS, 11
C-OlivierGiroux-cppR.litmus, FAIL, 10
C-W+MP+o+o-wmb-o+o-rmb-o.litmus, PASS, 11
MP-o-sync-o+rl-o-ctl-o-rul.litmus, PASS, 9
C-PaulEMcKenney-MP+o-sync-o+o-o.litmus, FAIL, 10
C-RomanPenyaev-list-rcu-rr-WA.litmus, PASS, 31
C-RW-G+RW-C.litmus, PASS, 8
C-ManfredSpraul-L1G2xchg.litmus, PASS, 233
C-ManfredSpraul-Sem.litmus, PASS, 16
C-MP-o-A-o+o-A-o.litmus, PASS, 13
C-PeterZijlstra+o-r+o-r+a-o-SB1.litmus, PASS, 12
C-seqctr.litmus, PASS, 16
C-RW-R+RR-G+WR-B.litmus, PASS, 12
C-WillDeacon-MP+o-r+ai-rmb-o.litmus, FAIL, 11
SUW+or-ow+l-ow-or.litmus, PASS, 12
SUW+or-ow+la-ow-or.litmus, FAIL, 10
rel-acq-write-ordering-2.litmus, FAIL, 9
rel-acq-write-ordering-1.litmus, FAIL, 10
C-lb+deref-o+deref-o.litmus, FAIL, 10
C-wrc+rel+acq-rel+acq-rel.litmus, PASS, 10
C-3.lb+o-mb-o+o-mb-o+o-addr-o.litmus, 
C-less-super-dist-2+2w+rel+acq-rel+acq-o+o-wmb-o+o-wmb-o.litmus, FAIL, 11
C-wrc+assign+deref-assign+deref-o.litmus, FAIL, 9
C-3.lb+deref-addr-assign+deref-addr-assign.litmus, 
C-mp+o-rel+acq-o.litmus, PASS, 9
C-rel-seq3.litmus, FAIL, 12
C-rel-seq1.litmus, FAIL, 10
C-rel-seq2.litmus, FAIL, 12
C-rel-seq4.litmus, FAIL, 11
C-lb+acq-o+acq-o.litmus, PASS, 9
C-3.lb+o-mb-o+o-mb-o.litmus, PASS, 10
C-wrc+o-mb-o+o-rb-o2.litmus, PASS, 9
C-LB+dataonceonce+dataonceonce-wsionceonce-rfionceonce-frionceonce.litmus, 
C-lb+o-assign+o-assign.litmus, PASS, 8
C-lb+o-assign+deref-o.litmus, FAIL, 11
C-lb+o-rel+acq-o.litmus, PASS, 14
C-wrc+assign+deref-o+o-rb-o.litmus, FAIL, 9
C-LB+dataonceonce+dataonceonce-rfionceonce-frionceonce-wsionceonce.litmus, 
C-isa2+o-rel+acq-rel+acq-o.litmus, PASS, 9
C-LB+dataonceonce+dataonceonce-rfionceonce-frionceonce.litmus, 
C-Weak-RCU-Readers-With-More-Grace.litmus, PASS, 18
C-isa2+o-rel+acq-o+o-rb-o.litmus, FAIL, 12
C-wrc+o-mb-o+o-mb-o2.litmus, PASS, 13
C-wrc+o+o-rel+acq-o.litmus, PASS, 9
C-LB+dataonceonce+dataoncerelease-wsireleaseonce-rfionceonce-frionceonce.litmus, 
C-dist-2+2w+rel+acq-o+o-wmb-o.litmus, FAIL, 9
C-LB+dataonceonce+dataonceonce-wsionceonce.litmus, 
C-MP+fencewmbonceonce+addronceonce-[fronceonce-rf]onceonce.litmus, 
C-mp+o-rel+deref-addr-o.litmus, 
C-dist-2+2w+rel+acq-o+o-rel.litmus, FAIL, 10
C-wrc+o+o-o+o-o.litmus, FAIL, 10
C-sb+rel-o+rel-o.litmus, FAIL, 10
