benchmark, result, time
C-coRW2+o+o.litmus, PASS, 45
C-coWR+o+o.litmus, PASS, 29
C-mp+o-o-mb-o-o+o-o-rb-o-o.litmus, PASS, 36
C-wwc+o-branch-o+o-branch-o+o.litmus, FAIL, 26
release-ordering.litmus, FAIL, 31
C-coWW+o+o.litmus, PASS, 22
C-mp+o-o+o-o.litmus, FAIL, 21
C-wo+ro-mb-ro+wo-mb-ro.litmus, PASS, 27
C-coRW1+o+o.litmus, PASS, 21
C-mp+o-o-wb-o-o+o-o-rb-o-o.litmus, PASS, 29
C-lb+o-branch-o+o-branch-o.litmus, PASS, 25
C-coRR+o-o+o.litmus, PASS, 22
C-mp+o-wb-o+o-rb+o.litmus, PASS, 25
C-wo+ro-rb-ro+wo-mb-ro.litmus, FAIL, 21
C-mp+o-wb-o+loc-rb-loc.litmus, PASS, 27
C-data-race-of-execution.litmus, PASS, 22
C-repload.litmus, PASS, 23
C-AlanStern.2018.01.11a.litmus, PASS, 27
C-propagation-and-write-races.litmus, FAIL, 21
C-tearstore.litmus, PASS, 21
C-non-conflicting-writes.litmus, FAIL, 25
C-tmpstore.litmus, PASS, 21
MP+wmbplainplain+rmbplainplain.litmus, PASS, 23
C-OOTA.litmus, PASS, 23
C-tearload.litmus, PASS, 23
C-IngoMolnar-1Cond.litmus, PASS, 23
C-RomanPenyaev-list-rcu-rr-dart-def-of-null.litmus, PASS, 647
C-RomanPenyaev-list-rcu-rr.litmus, PASS, 612
C-PaulEMcKenney-MP+o-r+ai-mb-o.litmus, PASS, 29
C-IngoMolnar-2If.litmus, PASS, 25
C-piggin-SB+samevar.litmus, PASS, 23
MP-release-acquire.litmus, FAIL, 19
C-2+2W+o-wmb-o+o-wmb-o.litmus, FAIL, 19
C-RomanPenyaev-list-rcu-rr-WA-dart-def-of-null.litmus, PASS, 727
C-BoqunFeng-membarrier.litmus, PASS, 24
C-DavidlohrBueso-sem.litmus, FAIL, 23
C-ManfredSpraul-L1G1xchgnr.litmus, FAIL, 88
C-PaulEMcKenney-S+o-sync-o+o-o.litmus, FAIL, 18
C-AlanStern-WRC+o-unlock+lock-o.litmus, PASS, 23
C-2+2W+o-r+o-r.litmus, FAIL, 18
SB-release-acquire.litmus, FAIL, 19
C-WillDeacon-AcqRelStore.litmus, FAIL, 20
C-PeterZijlstra+o-r+o-r+a-o-SB.litmus, PASS, 25
C-ManfredSpraul-L1G1xchg.litmus, PASS, 92
C-MPrelseq+o-r+rmwinc+a-o.litmus, FAIL, 20
WRC-release-acquire.litmus, FAIL, 19
LB-release-acquire.litmus, PASS, 24
C-IngoMolnar-After.litmus, FAIL, 19
C-PaulEMcKenney-S+o-sync-o+o-c-o.litmus, PASS, 22
C-IngoMolnar-2Reads.litmus, PASS, 25
C-IngoMolnar.litmus, PASS, 23
C-OlivierGiroux-cppR.litmus, FAIL, 19
C-W+MP+o+o-wmb-o+o-rmb-o.litmus, PASS, 23
MP-o-sync-o+rl-o-ctl-o-rul.litmus, PASS, 23
C-PaulEMcKenney-MP+o-sync-o+o-o.litmus, FAIL, 18
C-RomanPenyaev-list-rcu-rr-WA.litmus, PASS, 735
C-RW-G+RW-C.litmus, PASS, 22
C-ManfredSpraul-L1G2xchg.litmus, PASS, 174
C-ManfredSpraul-Sem.litmus, PASS, 27
C-MP-o-A-o+o-A-o.litmus, PASS, 27
C-PeterZijlstra+o-r+o-r+a-o-SB1.litmus, PASS, 24
C-seqctr.litmus, PASS, 36
C-RW-R+RR-G+WR-B.litmus, PASS, 25
C-WillDeacon-MP+o-r+ai-rmb-o.litmus, FAIL, 21
SUW+or-ow+l-ow-or.litmus, PASS, 23
SUW+or-ow+la-ow-or.litmus, FAIL, 30
rel-acq-write-ordering-2.litmus, FAIL, 19
rel-acq-write-ordering-1.litmus, FAIL, 19
C-lb+deref-o+deref-o.litmus, FAIL, 19
C-wrc+rel+acq-rel+acq-rel.litmus, PASS, 23
C-3.lb+o-mb-o+o-mb-o+o-addr-o.litmus, PASS, 28
C-less-super-dist-2+2w+rel+acq-rel+acq-o+o-wmb-o+o-wmb-o.litmus, FAIL, 20
C-wrc+assign+deref-assign+deref-o.litmus, FAIL, 18
C-3.lb+deref-addr-assign+deref-addr-assign.litmus, PASS, 27
C-mp+o-rel+acq-o.litmus, PASS, 22
C-rel-seq3.litmus, FAIL, 24
C-rel-seq1.litmus, FAIL, 20
C-rel-seq2.litmus, FAIL, 22
C-rel-seq4.litmus, FAIL, 21
C-lb+acq-o+acq-o.litmus, PASS, 23
C-3.lb+o-mb-o+o-mb-o.litmus, PASS, 25
C-wrc+o-mb-o+o-rb-o2.litmus, PASS, 20
C-LB+dataonceonce+dataonceonce-wsionceonce-rfionceonce-frionceonce.litmus, PASS, 33
C-lb+o-assign+o-assign.litmus, PASS, 22
C-lb+o-assign+deref-o.litmus, FAIL, 17
C-lb+o-rel+acq-o.litmus, PASS, 24
C-wrc+assign+deref-o+o-rb-o.litmus, FAIL, 18
C-LB+dataonceonce+dataonceonce-rfionceonce-frionceonce-wsionceonce.litmus, PASS, 23
C-isa2+o-rel+acq-rel+acq-o.litmus, PASS, 21
C-LB+dataonceonce+dataonceonce-rfionceonce-frionceonce.litmus, PASS, 24
C-Weak-RCU-Readers-With-More-Grace.litmus, PASS, 30
C-isa2+o-rel+acq-o+o-rb-o.litmus, FAIL, 23
C-wrc+o-mb-o+o-mb-o2.litmus, PASS, 23
C-wrc+o+o-rel+acq-o.litmus, PASS, 24
C-LB+dataonceonce+dataoncerelease-wsireleaseonce-rfionceonce-frionceonce.litmus, PASS, 25
C-dist-2+2w+rel+acq-o+o-wmb-o.litmus, FAIL, 19
C-LB+dataonceonce+dataonceonce-wsionceonce.litmus, PASS, 23
C-MP+fencewmbonceonce+addronceonce-[fronceonce-rf]onceonce.litmus, PASS, 24
C-mp+o-rel+deref-addr-o.litmus, PASS, 21
C-dist-2+2w+rel+acq-o+o-rel.litmus, FAIL, 19
C-wrc+o+o-o+o-o.litmus, FAIL, 18
C-sb+rel-o+rel-o.litmus, FAIL, 17
C-super-dist-2+2w+rel+acq-assign+deref-addr-o+o-wmb-o+o-wmb-o.litmus, FAIL, 24
C-alt-ww-rw+rel+acq-o+o-rel+acq-o+o-wb-rel+acq-o.litmus, FAIL, 23
C-isa2+o-assign+deref-o+o-rb-o.litmus, FAIL, 18
C-3.lb+o-rel+acq-rel+acq-o.litmus, PASS, 23
C-LB+dataonceonce+dataoncerelease-wsireleaseonce.litmus, PASS, 22
C-lb+o-assign+deref-addr-o.litmus, PASS, 24
C-3.lb+o-assign+deref-addr-o.litmus, PASS, 26
C-sb+rel-acq+rel-acq.litmus, FAIL, 17
C-lb+deref-addr-o+deref-addr-o.litmus, PASS, 22
C-isa2+o-rel+acq-assign+deref-addr-o.litmus, PASS, 25
C-S+fencembonceonce+dataonceonce-wsionceonce.litmus, PASS, 21
C-S+fencembonceonce+dataonceonce-rfionceonce-frionceonce-wsionceonce.litmus, PASS, 27
C-Weak-RCU-Readers.litmus, FAIL, 17
C-isa2+o-wb-o+o-mb-o+o-rb-o.litmus, PASS, 22
C-less-super-dist-2+2w+rel+acq-assign+deref-addr-o+o-wmb-o+o-wmb-o.litmus, FAIL, 23
C-3.lb+o-mb-o+o-mb-o+ctrl-branch-o.litmus, PASS, 25
C-super-dist-2+2w+rel+acq-rel+acq-o+o-wmb-o+o-wmb-o.litmus, FAIL, 21
C-lb+o-rel+o-rel.litmus, PASS, 22
C-S+fencembonceonce+dataoncerelease-wsireleaseonce.litmus, PASS, 23
C-wrc+rel+acq-o+o-rb-o.litmus, FAIL, 17
C-3.lb+o-o+o-o.litmus, FAIL, 17
C-lb+rel-acq+rel-acq.litmus, PASS, 20
C-lb+o-o+o-o.litmus, FAIL, 16
C-alt-ww-rw+rel+acq-rel+acq-o+o-wb-rel+acq-o+o-wb-o.litmus, FAIL, 24
C-lb+ctrl-branch-o+ctrl-branch-o.litmus, PASS, 25
C-3.lb+acq-rel+acq-rel.litmus, PASS, 25
C-lb+o-mb-o+o-mb-o.litmus, PASS, 21
C-S+fencembonceonce+dataoncerelease-wsireleaseonce-rfionceonce-frionceonce.litmus, PASS, 28
C-wrc+rel+acq-rel+acq-o.litmus, PASS, 21
C-lb+deref-addr-assign+deref-addr-assign.litmus, PASS, 24
C-dist-2+2w+o-o+o-o.litmus, FAIL, 17
C-isa2+o-o+o-o+o-o.litmus, FAIL, 18
C-3.lb+o-branch-o+o-branch-o.litmus, PASS, 22
C-isa2+o-assign+deref-addr-o+o-rb-o.litmus, FAIL, 22
C-say-wot.litmus, PASS, 56
C-S+fencembonceonce+dataonceonce-rfionceonce-frionceonce.litmus, PASS, 26
C-lb+o-branch-o+o-branch-o.litmus, PASS, 21
C-lb+deref-assign+deref-assign.litmus, PASS, 25
C-3.lb+o-mb-o+o-mb-o+o-branch-o.litmus, PASS, 27
C-sb+o-o+o-o.litmus, FAIL, 19
C-wrc+o-mb-o+o-rb-o.litmus, PASS, 24
C-say-captain.litmus, PASS, 34
C-Weak-RCU-Readers-With-Grace.litmus, FAIL, 27
C-mp+o-assign+deref-o.litmus, FAIL, 20
C-S+fencembonceonce+dataonceonce-wsionceonce-rfionceonce-frionceonce.litmus, PASS, 27
C-3.lb+once-rel+acq-rel+acq-once.litmus, PASS, 28
C-3.lb+acq-o+acq-o.litmus, PASS, 31
C-rcu-link-after.litmus, FAIL, 22
C-rcu-link-before.litmus, FAIL, 22
C-ISA2-6+o-sync-o+o-sync-o+o-sync-o+rl-o-o-rul+rl-o-o-rul+rl-o-o-rul.litmus, PASS, 32
C-locktest.litmus, PASS, 50
C-3.SB+o-o+o-mb-o+o-mb-o.litmus, FAIL, 20
C-LB+acq-o+acq-o+acq-o.litmus, PASS, 23
C-wmb-is-B-cumulative.litmus, FAIL, 18
C-LB+o-sync-sync-o+rl-o-o-rul+rl-o-o-rul.litmus, PASS, 28
C-release-acquire-is-B-cumulative.litmus, FAIL, 21
C-rcu-relacq1.litmus, FAIL, 20
C-atomicpo.litmus, FAIL, 22
C-CO+o-o+o-o.litmus, PASS, 25
C-rcu-relacq1-relacq.litmus, PASS, 26
C-release-is-not-B-cumulative.litmus, FAIL, 21
C-WWC+o+o-rel+acq-o.litmus, PASS, 26
C-SB+o-mb-o+o-mb-o.litmus, PASS, 25
C-MP2+o-o-wmb-o-o+o-rmb-o+o-rmb-o.litmus, PASS, 27
C-2+2W+o-wmb-o+o-wmb-o.litmus, FAIL, 20
C-WWC+o+acq-o+acq-o.litmus, FAIL, 17
C-LB+o-sync-o+rl-o-o-rul.litmus, PASS, 22
C-3.SB+o-mb-o+o-mb-o+o-mb-o.litmus, PASS, 21
C-W+WRC+o-rel+acq-o+o-mb-o.litmus, FAIL, 18
C-po-loc.litmus, PASS, 20
C-RW-R+RW-G+RW-R.litmus, FAIL, 17
C-LB+o-o+o-o+o-o.litmus, FAIL, 18
C-IRIW+o+o+o-mb-o+o-mb-o.litmus, PASS, 22
C-relseq.litmus, FAIL, 20
C-LB+o-o+o-o.litmus, FAIL, 16
C-RR-R+WW-G.litmus, PASS, 22
C-RW-R+RW-Gr+RW-Ra.litmus, PASS, 23
C-LB+o-sync-o+rl-o-o-rul+o-rl-rul-o+o-sync-o.litmus, PASS, 24
C-wmb-is-not-A-cumulative.litmus, FAIL, 17
C-R+o-wmb-o+o+mb+o.litmus, FAIL, 16
C-WRC-o+o-data-o+o-rmb-o.litmus, FAIL, 16
C-MP+o-rel+acq-o.litmus, PASS, 20
C-MP+o-mb-o+o-mb-o.litmus, PASS, 21
C-MP+o-assign+o-dep-o.litmus, PASS, 22
C-locktest-filter.litmus, PASS, 35
C-RW-Ra+RW-G+RW-Rr.litmus, PASS, 23
C-Figure8.litmus, PASS, 26
C-release-is-A-cumulative.litmus, PASS, 21
C-IRIW+rel+rel+acq-o+acq-o.litmus, FAIL, 18
C-IRIWish+o+o-rel+o-rmb-o+o-rmb-o.litmus, PASS, 26
C-3+2W+o-wmb-o+o-wmb-o+o-wmb-o.litmus, FAIL, 19
C-MP+o-o+o-o.litmus, FAIL, 17
C-CO+o-o.litmus, PASS, 18
C-LB+o-rel+rl-o-o-rul+o-sync-o.litmus, PASS, 23
C-FR+w+w+w+reads.litmus, FAIL, 23
C-MP+o-wmb-o+o-rmb-o.litmus, PASS, 20
C-ISA2+o-rel+acq-rel+acq-o.litmus, PASS, 21
C-relseq-not-B-cumulative.litmus, FAIL, 22
C-release-B-cumulative-only-on-acquire-path.litmus, FAIL, 18
C-Z6.0+o-rel+acq-o+o-mb-o.litmus, FAIL, 18
C-Z6.0+o-mb-o+acq-o+o-mb-o.litmus, PASS, 22
C-SB+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u-X.litmus, PASS, 72
C-SB+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u-CE.litmus, PASS, 118
C-SB+l-o-o-u+l-o-o-u+l-o-o-u-C.litmus, PASS, 52
C-SB+l-o-o-u+l-o-o-u+l-o-o-u-CE.litmus, PASS, 52
C-SB+l-o-o-u+l-o-o-u-XE.litmus, PASS, 34
C-SB+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u-CE.litmus, PASS, 78
C-SB+l-o-o-u+l-o-o-u-X.litmus, PASS, 34
C-SB+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u-C.litmus, PASS, 115
C-SB+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u-XE.litmus, PASS, 112
C-SB+l-o-o-u+l-o-o-u-C.litmus, PASS, 35
C-SB+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u-X.litmus, PASS, 110
C-SB+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u-C.litmus, PASS, 76
C-SB+l-o-o-u+l-o-o-u-CE.litmus, PASS, 35
C-SB+l-o-o-u+l-o-o-u+l-o-o-u-XE.litmus, PASS, 49
C-SB+l-o-o-u+l-o-o-u+l-o-o-u+l-o-o-u-XE.litmus, PASS, 72
C-SB+l-o-o-u+l-o-o-u+l-o-o-u-X.litmus, PASS, 48
C-noatomic-03.litmus, FAIL, 27
C-atomic-00.litmus, FAIL, 27
C-atomic-02.litmus, PASS, 27
C-xchg-lock-write1.litmus, PASS, 34
C-atomic-04.litmus, FAIL, 45
C-PaulEMcKenney-SB+adat-o+adat-o.litmus, PASS, 26
C-AlanStern-Atomic1.litmus, PASS, 25
C-atomic-01.litmus, PASS, 30
C-atomic-03.litmus, FAIL, 25
C-wrc+o-mb-o+o-rmb-o.litmus, PASS, 23
C-3+2w+o-wb-o+o-wb-o+o-wb-o.litmus, FAIL, 19
C-wo+ro-mb-wo+wo-mb-ro2.litmus, PASS, 24
C-mp+o-rmb-o+o-mb-o.litmus, FAIL, 18
C-wrc+o-mb-o+o-mb-o.litmus, PASS, 24
C-iriw+o-mb-o+o-rmb-o.litmus, FAIL, 20
C-r+o-mb-o+o-mb-o.litmus, PASS, 24
C-s+o-wb-o+o-mb-o.litmus, PASS, 23
C-mp+o-mb-o+o-mb-o.litmus, PASS, 24
C-2+2w+o-wb-o+o-mb-o.litmus, FAIL, 19
C-r+o-wmb-o+o-rmb-o2.litmus, FAIL, 18
C-mp+o-wb-o+o-mb-o2.litmus, PASS, 24
C-r+o-mb-o+o-rmb-o2.litmus, FAIL, 20
C-mp+o-mb-o+o-rb-o2.litmus, PASS, 22
C-r+o-wmb-o+o-mb-o2.litmus, FAIL, 19
C-s+o-mb-o+o-mb-o.litmus, PASS, 23
C-mp+o-wb-o+o-rb-o2.litmus, PASS, 23
C-mp+o-mb-o+o-mb-o2.litmus, PASS, 24
C-mp+o-wb-o+o-mb-o.litmus, PASS, 23
C-2+2w+o-mb-o+o-mb-o.litmus, PASS, 24
C-mp+o-wb-o+o-rb-o.litmus, PASS, 23
C-s+o-mb-o+o-mb-o2.litmus, PASS, 24
C-wrc+o-mb-o+o-mb-o2.litmus, PASS, 23
C-sb+o-mb-o+o-mb-o.litmus, PASS, 24
C-2+2w+o-mb-o+o-wb-o.litmus, FAIL, 19
C-wo+ro-mb-wo+wo-mb-ro.litmus, PASS, 24
C-mp+o-mb-o+o-wmb-o.litmus, FAIL, 19
C-iriw+o-rmb-o+o-mb-o.litmus, FAIL, 19
C-mp+o-mb-o+o-rb-o.litmus, PASS, 24
C-r+o-mb-o+o-mb-o2.litmus, PASS, 24
C-r+o-mb-o+o-wb-o2.litmus, FAIL, 18
C-r+o-mb-o+o-wb-o.litmus, FAIL, 19
C-lb+o-mb-o+o-rmb-o.litmus, FAIL, 19
C-lb+o-mb-o+o-mb-o.litmus, PASS, 24
C-s+o-wb-o+o-mb-o2.litmus, PASS, 23
C-2+2w+o-wb-o+o-wb-o.litmus, FAIL, 18
C-wo+ro-mb-ro+wo-mb-ro.litmus, PASS, 24
C-iriw+o-mb-o+o-mb-o.litmus, PASS, 24
C-wrc+o-mb-o+o-rb-o2.litmus, PASS, 24
C-wrc+o-mb-o+o-rb-o.litmus, PASS, 24
C-r+o-o+o-o.litmus, FAIL, 19
C-isa2+rl-o-o-rul+rl-o-o-rul+o-srcu-o.litmus, FAIL, 20
C-w+ro-srcu-wo+rl-wo-ro-rul.litmus, PASS, 24
C-w+o+ro-srcu-wo+rl-o-o-rul.litmus, PASS, 24
C-iriw+rl-o-o-rul+o-srcu-o.litmus, PASS, 24
C-lb+rl-o-o-rul+o-srcu-o.litmus, PASS, 24
C-s+o-assign+rl-deref-rul.litmus, FAIL, 19
C-r+srcu+rl-rul.litmus, PASS, 24
C-s+rl-o-rul+srcu.litmus, PASS, 23
C-2+2w+rl-o-o-rul+o-srcu-o.litmus, PASS, 24
C-w+rl-ro-ro-rul+wo-srcu-ro.litmus, PASS, 24
C-w+ro-wo+wo-ro.litmus, FAIL, 20
C-wrc+o+rl-o-o-rul+o-srcu-o.litmus, PASS, 27
C-sb+rl-rul+srcu.litmus, PASS, 25
C-s+srcu+rl-o-rul.litmus, PASS, 25
C-w+ro-ro+wo-ro.litmus, FAIL, 20
C-swap-mp+rl-o-o-rul+o-srcu-o.litmus, PASS, 25
C-isa2+rl-o-o-rul+o-srcu-o+o-srcu-o.litmus, PASS, 34
C-r+rl-rul+srcu.litmus, PASS, 25
C-mp+o-srcu-o+rl-o-o+rul.litmus, PASS, 25
C-wrc+o-o+o-o.litmus, FAIL, 20
C-wrc+o+o-srcu-o+rl-o-o-rul.litmus, PASS, 25
C-dist-r+o+rl-o-o-rul+o-srcu-o.litmus, PASS, 26
C-mp+rl-o-o-rul+o-srcu-o.litmus, PASS, 25
C-iriw+o-o+o-o.litmus, FAIL, 21
C-LB-LWR+R-Dd+OB-O+OB-OB.litmus, PASS, 28
C-RW-G+RW-G+RW-G+RW-Rr+RW-Ra+RW-R.litmus, PASS, 122
C-LB-Lrw+R-Od+R-Ov+R-D.litmus, FAIL, 22
C-LB-LRW+R-Dd+OB-OB.litmus, PASS, 30
C-WW-G+WW-B+WW-R.litmus, PASS, 27
C-RR-GR+RR-R+RR-R.litmus, PASS, 30
C-LB-LWW+R-Dd+R-A+R-Dd+R-A.litmus, PASS, 31
C-LB-Lrw+R-D+R-D.litmus, FAIL, 20
C-RW-G+RW-B+RW-G+RW-B+RW-G+RW-G+RW-G+RW-B.litmus, PASS, 265
C-LB-GRR+R-Dd+R-Dd+R-Dd+R-Dd.litmus, PASS, 33
C-LB-GRR+R-Oc+R-Oc+OB-OB.litmus, PASS, 33
C-LB-LWW+R-A+R-Oc+OB-O+OB-OB.litmus, PASS, 29
C-RW-r+RW-C+RW-B+RW-B+RW-B.litmus, PASS, 32
C-LB-LRR+R-Dd+R-A+R-Dd+R-A.litmus, PASS, 29
C-RW-G+RW-RB+RW-G+RW-G+RW-G+RW-R+RW-R.litmus, PASS, 169
C-RW-GR2+RW-R.litmus, PASS, 26
C-WW-G+WW-R+WW-G+WW-G+WW-R+WW-R+WW-R+WW-R.litmus, FAIL, 30
C-LB-LWW+R-A+OB-O+OB-O+R-Oc.litmus, PASS, 29
C-RW-G+RW-Rs+RW-RD+RW-G+RW-R+RW-G+RW-G+RW-R.litmus, PASS, 211
C-RR-G+RR-R+RR-G+RR-G+RR-G+RR-R.litmus, PASS, 75
C-RW-R3I+RW-R3I+RW-R3I.litmus, FAIL, 20
C-RR-G+RR-G+RR-R+RR-R+RR-G+RR-G+RR-R+RR-R.litmus, PASS, 42
C-RW-Rs+RW-RD+RW-R+RW-R.litmus, FAIL, 22
C-RW-Rs+RW-RCD+RW-R+RW-R+RW-R+RW-R.litmus, FAIL, 24
C-LB-GRR+R-Dd+R-A+R-Oc+R-Oc.litmus, FAIL, 25
C-RW-R+RW-R+RW-G+RW-G+RW-G+RW-G+RW-R+RW-R+RW-R.litmus, FAIL, 30
C-RW-G+RW-Rs+RW-RCD+RW-R+RW-G+RW-R.litmus, PASS, 36
C-LB-GRW+R-A+R-A+R-A+R-A.litmus, PASS, 33
C-RW-G+RW-Rr+RW-RC+RW-G+RW-G+RW-R.litmus, PASS, 146
C-RR-G+RR-G+RR-G+RR-R+RR-G+RR-G+RR-R+RR-R.litmus, PASS, 139
C-LB-LWW+R-Dd+OB-O+R-A+R-Oc.litmus, PASS, 29
C-LB-LRW+R-Dd+R-Oc+R-Oc+RQ-A.litmus, PASS, 31
C-RW-B+RW-B+RW-B+RW-B+RW-B+RW-B+RW-B.litmus, PASS, 75
C-LB-GRR+R-Dd+R-A+R-Oc+OB-OB.litmus, PASS, 36
C-LB-LRW+R-A+R-Oc+OB-O+R-Ok.litmus, FAIL, 23
C-LB-LWR+R-A+OB-O+R-Oc+OB-OB.litmus, PASS, 31
C-WW-G+WW-G+WW-R+WW-G+WW-G+WW-G+WW-R+WW-R.litmus, PASS, 161
C-LB-LRW+R-Od+R-Dd+R-Oc+R-A.litmus, PASS, 32
C-RW-G+RW-Rr+RW-Ra+RW-R+RW-R.litmus, FAIL, 23
C-WR-G+WR-G+WR-G+WR-G+WR-R+WR-R.litmus, PASS, 70
C-LB-LRW+R-Dd+OB-O+R-Oc.litmus, PASS, 29
C-LB-LRR+R-A+OB-OB.litmus, PASS, 27
C-RW-R3.litmus, PASS, 23
C-LB-GWR+OB-O+OB-OB.litmus, PASS, 30
C-LB-GRR+R-Dd+R-Oc+OB-O+R-Oc.litmus, FAIL, 26
C-WR-G+WR-R+WR-R+WR-G+WR-R.litmus, FAIL, 23
C-RR-GR+RR-R.litmus, PASS, 29
C-RW-G+RW-r+RW-C+RW-G+RW-G+RW-G+RW-B.litmus, PASS, 83
C-RW-G+RW-G+RW-G+RW-G+RW-r+RW-C.litmus, PASS, 58
C-WW-G+WW-B+WW-R+WW-R+WW-R+WW-G+WW-R.litmus, FAIL, 28
C-RR-G+RR-R+RR-R+RR-R+RR-R+RR-R+RR-R+RR-R.litmus, FAIL, 31
C-LB-LRW+R-Dd+R-Oc+R-Oc+R-A.litmus, PASS, 32
C-RW-G+RW-r+RW-C.litmus, PASS, 28
C-RW-G+RW-G+RW-G+RW-Rr+RW-RC+RW-R+RW-R+RW-R.litmus, PASS, 37
C-LB-LRR+R-A+OB-O+OB-O+R-OC.litmus, FAIL, 23
C-RW-G+RW-r+RW-a+RW-B+RW-B+RW-B+RW-B+RW-B.litmus, PASS, 87
C-WW-G+WW-G+WW-G+WW-G+WW-G+WW-G+WW-R+WW-R.litmus, PASS, 129
C-RW-G+RW-RB+RW-R+RW-R+RW-R+RW-R+RW-R+RW-R.litmus, FAIL, 26
C-RW-G+RW-Rrd+RW-D.litmus, PASS, 36
C-RW-G+RW-G+RW-G+RW-Rr+RW-RC+RW-R.litmus, PASS, 129
C-WW-G+WW-B+WW-G+WW-R+WW-G+WW-G+WW-G+WW-R.litmus, PASS, 100
C-RW-G+RW-G+RW-G+RW-G+RW-G+RW-G+RW-B.litmus, PASS, 194
C-LB-GRW+R-Oc+OB-OB.litmus, PASS, 37
C-RW-G+RW-Rr+RW-Ra+RW-G+RW-G+RW-R+RW-R+RW-R.litmus, PASS, 36
C-WR-H+WR-R+WR-R+WR-G+WR-R+WR-R.litmus, FAIL, 24
C-RW-R+RW-R+RW-G+RW-G+RW-G+RW-G+RW-R+RW-R+RW-R+RW-G.litmus, PASS, 44
C-LB-GWR+R-Dd+R-Dd+R-A+R-Oc.litmus, FAIL, 26
C-LB-LRW+R-OC+OB-O+OB-O+OB-OB.litmus, PASS, 44
C-RW-G+RW-RI+RW-G+RW-RI.litmus, PASS, 29
C-LB-GWW+R-Dd+R-Dd.litmus, FAIL, 23
C-WW-G+WW-G+WW-G+WW-G+WW-G.litmus, PASS, 37
C-RW-G+RW-r+RW-C+RW-G+RW-G+RW-G+RW-G+RW-B.litmus, PASS, 123
C-RW-G+RW-Rrd+RW-CD+RW-R+RW-R.litmus, FAIL, 24
C-WW-G+WW-B+WW-R+WW-R+WW-G+WW-G+WW-G+WW-R.litmus, PASS, 130
C-LB-GWW+R-Dd+R-A+R-A+R-A.litmus, FAIL, 24
C-LB-GWR+R-Dd+R-Dd+R-Oc+R-Oc.litmus, FAIL, 27
C-RW-GH+RW-R+RW-R+RW-R+RW-G+RW-R+RW-R.litmus, FAIL, 26
C-RR-G+RR-G+RR-G+RR-G.litmus, PASS, 33
C-LB-LRW+R-Dd+R-Oc+R-Dd+R-Oc.litmus, PASS, 31
C-LB-GWW+R-A+R-Oc.litmus, FAIL, 22
C-RW-G+RW-G+RW-G+RW-G+RW-RB.litmus, PASS, 118
C-LB-LRW+R-Dd+R-Dd+R-Dd+R-Dcv.litmus, PASS, 32
C-WW-G+WW-B+WW-R+WW-G+WW-G+WW-R.litmus, PASS, 64
