benchmark, result, time
DETOUR0474.litmus, FAIL, 19
DETOUR0253.litmus, PASS, 13
safe402.litmus, PASS, 12
safe225.litmus, PASS, 10
i4.litmus, FAIL, 14
LB+PPO0419.litmus, FAIL, 12
IRIW+sync+isync.litmus, FAIL, 10
Z6.2+po+sync+po.litmus, FAIL, 11
DETOUR1150.litmus, PASS, 13
DETOUR1285.litmus, FAIL, 12
Z6.3+po+sync+lwsync.litmus, FAIL, 12
Z6.0+po+lwsync+po.litmus, FAIL, 10
RWC+ctrl+isync.litmus, FAIL, 10
Z6.0+syncs.litmus, PASS, 11
W5.litmus, FAIL, 14
safe499.litmus, PASS, 12
DETOUR0507.litmus, FAIL, 14
safe083.litmus, PASS, 12
Z6.3+sync+po+po.litmus, FAIL, 11
WRW+2W+sync+rfi-data.litmus, FAIL, 11
LB+PPO0482.litmus, PASS, 12
bclwdww017.litmus, FAIL, 12
DETOUR1023.litmus, FAIL, 11
S+PPO405.litmus, PASS, 12
MP+PPO489.litmus, PASS, 12
DETOUR0909.litmus, FAIL, 13
DETOUR0547.litmus, FAIL, 12
DETOUR0360.litmus, FAIL, 12
DETOUR0692.litmus, PASS, 12
DETOUR0288.litmus, PASS, 11
safe531.litmus, PASS, 11
3.2W+sync+lwsync+rfi-data.litmus, FAIL, 12
RWC+sync+po.litmus, FAIL, 10
DETOUR1063.litmus, FAIL, 11
LB+PPO0459.litmus, PASS, 13
m4.litmus, FAIL, 9
safe058.litmus, PASS, 11
DETOUR0434.litmus, FAIL, 11
DETOUR0992.litmus, FAIL, 13
safe442.litmus, PASS, 11
DETOUR0609.litmus, FAIL, 11
Z6.3+sync+po+lwsync.litmus, FAIL, 10
S+PPO536.litmus, PASS, 13
DETOUR1110.litmus, PASS, 11
DETOUR1336.litmus, FAIL, 15
MP+PPO674.litmus, PASS, 13
CO-2+2W.litmus, PASS, 9
S+PPO710.litmus, PASS, 12
DETOUR0861.litmus, FAIL, 13
DETOUR0208.litmus, FAIL, 12
safe043.litmus, PASS, 12
safe396.litmus, PASS, 12
podrwposwr052.litmus, FAIL, 13
DETOUR0612.litmus, FAIL, 12
safe459.litmus, PASS, 13
Z6.5+lwsync+rfi-data+sync.litmus, FAIL, 12
DETOUR1245.litmus, FAIL, 10
DETOUR1190.litmus, FAIL, 11
safe130.litmus, PASS, 12
DETOUR0912.litmus, FAIL, 11
DETOUR0689.litmus, PASS, 11
DETOUR0761.litmus, FAIL, 11
Z6.0+sync+sync+lwsync.litmus, FAIL, 11
W+RWC+lwsync+sync+po.litmus, FAIL, 11
LB+PPO0531.litmus, PASS, 12
MP+PPO747.litmus, PASS, 12
aclwdrr015.litmus, FAIL, 11
DETOUR1205.litmus, PASS, 11
LB+datas+WW.litmus, FAIL, 11
DETOUR1038.litmus, FAIL, 10
LB+PPO0571.litmus, FAIL, 12
ISA2+lwsync+isync+sync.litmus, FAIL, 10
safe170.litmus, FAIL, 11
DETOUR0952.litmus, FAIL, 14
DETOUR0721.litmus, FAIL, 10
safe098.litmus, PASS, 18
podrr007.litmus, FAIL, 11
S+PPO750.litmus, PASS, 16
PPO011.litmus, PASS, 11
MP+sync+ctrl-data-detw.litmus, PASS, 14
LB+sync+data.litmus, PASS, 11
RW-rwa+RW-ra+RW-rwa+CK-PPC.litmus, PASS, 16
DETOUR0248.litmus, PASS, 13
