benchmark, result, time
DETOUR0474.litmus, FAIL, 25
DETOUR0253.litmus, PASS, 31
safe402.litmus, PASS, 33
safe225.litmus, PASS, 30
i4.litmus, FAIL, 27
LB+PPO0419.litmus, FAIL, 24
IRIW+sync+isync.litmus, FAIL, 20
Z6.2+po+sync+po.litmus, FAIL, 22
DETOUR1150.litmus, PASS, 29
DETOUR1285.litmus, FAIL, 21
Z6.3+po+sync+lwsync.litmus, FAIL, 22
Z6.0+po+lwsync+po.litmus, FAIL, 21
RWC+ctrl+isync.litmus, FAIL, 20
Z6.0+syncs.litmus, PASS, 27
W5.litmus, FAIL, 30
safe499.litmus, PASS, 36
DETOUR0507.litmus, FAIL, 31
safe083.litmus, PASS, 29
Z6.3+sync+po+po.litmus, FAIL, 21
WRW+2W+sync+rfi-data.litmus, FAIL, 24
LB+PPO0482.litmus, PASS, 31
bclwdww017.litmus, FAIL, 25
DETOUR1023.litmus, FAIL, 24
S+PPO405.litmus, PASS, 39
MP+PPO489.litmus, PASS, 33
DETOUR0909.litmus, FAIL, 28
DETOUR0547.litmus, FAIL, 26
DETOUR0360.litmus, FAIL, 23
DETOUR0692.litmus, PASS, 30
DETOUR0288.litmus, PASS, 29
safe531.litmus, PASS, 31
3.2W+sync+lwsync+rfi-data.litmus, FAIL, 26
RWC+sync+po.litmus, FAIL, 20
DETOUR1063.litmus, FAIL, 21
LB+PPO0459.litmus, PASS, 30
m4.litmus, FAIL, 23
safe058.litmus, PASS, 31
DETOUR0434.litmus, FAIL, 21
DETOUR0992.litmus, FAIL, 25
safe442.litmus, PASS, 33
DETOUR0609.litmus, FAIL, 25
Z6.3+sync+po+lwsync.litmus, FAIL, 24
S+PPO536.litmus, PASS, 33
DETOUR1110.litmus, PASS, 28
DETOUR1336.litmus, FAIL, 32
MP+PPO674.litmus, PASS, 33
CO-2+2W.litmus, PASS, 29
S+PPO710.litmus, PASS, 30
DETOUR0861.litmus, FAIL, 27
DETOUR0208.litmus, FAIL, 24
safe043.litmus, PASS, 28
safe396.litmus, PASS, 30
podrwposwr052.litmus, FAIL, 26
DETOUR0612.litmus, FAIL, 24
safe459.litmus, PASS, 34
Z6.5+lwsync+rfi-data+sync.litmus, FAIL, 22
DETOUR1245.litmus, FAIL, 24
DETOUR1190.litmus, FAIL, 24
safe130.litmus, PASS, 38
DETOUR0912.litmus, FAIL, 23
DETOUR0689.litmus, PASS, 31
DETOUR0761.litmus, FAIL, 26
Z6.0+sync+sync+lwsync.litmus, FAIL, 24
W+RWC+lwsync+sync+po.litmus, FAIL, 23
LB+PPO0531.litmus, PASS, 29
MP+PPO747.litmus, PASS, 31
aclwdrr015.litmus, FAIL, 22
DETOUR1205.litmus, PASS, 30
LB+datas+WW.litmus, FAIL, 23
DETOUR1038.litmus, FAIL, 22
LB+PPO0571.litmus, FAIL, 23
ISA2+lwsync+isync+sync.litmus, FAIL, 22
safe170.litmus, FAIL, 24
DETOUR0952.litmus, FAIL, 27
DETOUR0721.litmus, FAIL, 29
safe098.litmus, PASS, 33
podrr007.litmus, FAIL, 25
S+PPO750.litmus, PASS, 34
PPO011.litmus, PASS, 33
