benchmark, result, time
m55.litmus, FAIL, 10
MP+mfence-rmw+po.litmus, FAIL, 10
m34if.litmus, FAIL, 10
R+mfence-po+rfi-po.litmus, FAIL, 9
WRW+WR+po+mfence.litmus, FAIL, 9
amd5.litmus, PASS, 9
m15.litmus, FAIL, 9
RR+RR+rmw-pos.litmus, FAIL, 9
x86-m4.litmus, FAIL, 9
SB+rfi-po+po-rfi-po.litmus, FAIL, 9
iwp2.3.a-amd4.mfence.litmus, PASS, 8
X003.litmus, FAIL, 9
W+RW+WW+RW.litmus, FAIL, 10
WW+RR+WR+WR+po+po+rfi-po+po.litmus, FAIL, 10
LB+rmw-po+po-rmw.litmus, FAIL, 11
n2.litmus, FAIL, 11
R+po+mfence-pos-po.litmus, PASS, 9
RW+WR+rmw-po+rfi-po.litmus, FAIL, 10
WW+WR+WW+WR+po+mfence+po+po.litmus, FAIL, 9
R+po+po-mfence-pos.litmus, PASS, 9
WW+RR+WR+WR+po+po+mfence+po.litmus, FAIL, 9
iwp2.8.a.litmus, FAIL, 9
W+RW+RR+WR+po+po+mfence.litmus, FAIL, 10
MP+po+po-po-pos.litmus, PASS, 9
W+RR+WR+WR+po+rfi-po+mfence.litmus, FAIL, 9
W+RR+WR+WR+po+po+rfi-po.litmus, FAIL, 8
WR+po-rfi-po.litmus, PASS, 8
3.SB+mfence+po+rfi-po.litmus, FAIL, 9
WW+WW+WR+WR+po+po+po+rfi-po.litmus, FAIL, 9
4.SB+mfences.litmus, FAIL, 11
MP+po+pos-po-po001.litmus, PASS, 9
WW+WR+WW+WR+po+mfence+po+mfence.litmus, FAIL, 10
MP+po+pos-pos-po.litmus, PASS, 9
Z6.5+po+po+mfence.litmus, FAIL, 11
MP+po+pos-po-mfence.litmus, PASS, 12
intel.cc.litmus, PASS, 14
SB+mfence+po.litmus, FAIL, 8
podrw000.litmus, FAIL, 9
pso.litmus, PASS, 11
WW+WR+WR+WR+po+rfi-po+po+rfi-po.litmus, FAIL, 10
Z6.4.litmus, FAIL, 8
m44ii.litmus, FAIL, 9
2+2W+mfence-po+rfi-po.litmus, PASS, 12
MP+po+fri-rfi-po.litmus, PASS, 9
m34.litmus, FAIL, 9
SB.litmus, FAIL, 9
W+RW+RW+WW.litmus, FAIL, 11
3.SB.litmus, FAIL, 8
mfence2.litmus, FAIL, 10
R+po+mfence-po-rfi.litmus, PASS, 10
4.SB+mfence+po+po+po.litmus, FAIL, 9
m22.litmus, FAIL, 9
W+RR+WR+WR+po+mfence+mfence.litmus, FAIL, 10
R+po+po-rfi-pos.litmus, PASS, 9
WW+RW+RW+WR+po+po+po+rfi-po.litmus, FAIL, 12
S+mfence-rmw+rmw-po.litmus, FAIL, 11
WW+WR+WR+WR+po+mfence+mfence+po.litmus, FAIL, 9
WW+WR+WR+WR+po+mfence+rfi-po+po.litmus, FAIL, 9
MP+po+po-pos-pos.litmus, PASS, 9
RR+RR+rmw-mfence+rmw-po.litmus, FAIL, 10
test.intel.1.litmus, FAIL, 9
MP+po+pos-po-rfi.litmus, PASS, 9
W+RWC.litmus, FAIL, 8
MP+po+po-pos.litmus, PASS, 9
4.SB+mfence+mfence+po+po.litmus, FAIL, 8
4.SB+rfi-pos.litmus, FAIL, 9
WW+WR+WR+WR+po+po+po+mfence.litmus, FAIL, 9
intel.rwc.litmus, FAIL, 8
R+po+mfence-po-po.litmus, PASS, 10
S+po+po-rmw.litmus, FAIL, 11
R+po+po-fri-po.litmus, FAIL, 10
WW+WW+RW+RW.litmus, FAIL, 11
R+po+rfi-po-po001.litmus, FAIL, 9
2+2W+mfence-po+po-rfi-po.litmus, PASS, 10
WW+RR+WR+WR+po+po+rfi-po+rfi-po.litmus, FAIL, 9
R+mfence-po+po-rfi-po.litmus, FAIL, 10
iwp2.6.litmus, FAIL, 11
WW+RW+RR+WR+po+po+po+rfi-po.litmus, FAIL, 10
RR+RW+rmw-mfence+rmw-po.litmus, FAIL, 11
iwp2.3.b.litmus, FAIL, 8
2+2W+po-rfi-pos.litmus, PASS, 10
R+po+po-pos.litmus, FAIL, 9
4.SB.litmus, FAIL, 10
R+po+rfi-po-mfence.litmus, PASS, 9
intel.4.litmus, FAIL, 8
WW+WR+WR+WR+po+po+mfence+rfi-po.litmus, FAIL, 9
SB+mfence+rfi-po.litmus, FAIL, 9
MP+po+po-po-rfi001.litmus, PASS, 10
X001.litmus, FAIL, 9
WW+WW+WW+WR+po+po+po+rfi-po.litmus, FAIL, 11
W+RR+WW+RW.litmus, FAIL, 11
MP+po+fri-po-mfence.litmus, PASS, 9
RWC+po+mfence.litmus, FAIL, 9
MP+po+po-po-mfence.litmus, PASS, 10
4.SB+mfence+mfence+po+rfi-po.litmus, FAIL, 10
MP+po+pos-po-po.litmus, PASS, 9
R+po+mfence-pos.litmus, PASS, 9
