benchmark, result, time
m55.litmus, FAIL, 28
MP+mfence-rmw+po.litmus, FAIL, 26
m34if.litmus, FAIL, 26
R+mfence-po+rfi-po.litmus, FAIL, 23
WRW+WR+po+mfence.litmus, FAIL, 29
amd5.litmus, PASS, 26
m15.litmus, FAIL, 28
RR+RR+rmw-pos.litmus, FAIL, 27
x86-m4.litmus, FAIL, 22
SB+rfi-po+po-rfi-po.litmus, FAIL, 23
iwp2.3.a-amd4.mfence.litmus, PASS, 28
X003.litmus, FAIL, 22
W+RW+WW+RW.litmus, FAIL, 29
WW+RR+WR+WR+po+po+rfi-po+po.litmus, FAIL, 31
LB+rmw-po+po-rmw.litmus, FAIL, 28
n2.litmus, FAIL, 39
R+po+mfence-pos-po.litmus, PASS, 27
RW+WR+rmw-po+rfi-po.litmus, FAIL, 29
WW+WR+WW+WR+po+mfence+po+po.litmus, FAIL, 33
R+po+po-mfence-pos.litmus, PASS, 29
WW+RR+WR+WR+po+po+mfence+po.litmus, FAIL, 31
iwp2.8.a.litmus, FAIL, 29
W+RW+RR+WR+po+po+mfence.litmus, FAIL, 31
MP+po+po-po-pos.litmus, PASS, 29
W+RR+WR+WR+po+rfi-po+mfence.litmus, FAIL, 33
W+RR+WR+WR+po+po+rfi-po.litmus, FAIL, 33
WR+po-rfi-po.litmus, PASS, 24
3.SB+mfence+po+rfi-po.litmus, FAIL, 29
WW+WW+WR+WR+po+po+po+rfi-po.litmus, FAIL, 32
4.SB+mfences.litmus, FAIL, 32
MP+po+pos-po-po001.litmus, PASS, 28
WW+WR+WW+WR+po+mfence+po+mfence.litmus, FAIL, 32
MP+po+pos-pos-po.litmus, PASS, 27
Z6.5+po+po+mfence.litmus, FAIL, 29
MP+po+pos-po-mfence.litmus, PASS, 29
intel.cc.litmus, PASS, 31
SB+mfence+po.litmus, FAIL, 28
podrw000.litmus, FAIL, 28
pso.litmus, PASS, 37
WW+WR+WR+WR+po+rfi-po+po+rfi-po.litmus, FAIL, 46
Z6.4.litmus, FAIL, 30
m44ii.litmus, FAIL, 27
2+2W+mfence-po+rfi-po.litmus, PASS, 30
MP+po+fri-rfi-po.litmus, PASS, 30
m34.litmus, FAIL, 21
SB.litmus, FAIL, 21
W+RW+RW+WW.litmus, FAIL, 32
3.SB.litmus, FAIL, 28
mfence2.litmus, FAIL, 29
R+po+mfence-po-rfi.litmus, PASS, 29
4.SB+mfence+po+po+po.litmus, FAIL, 29
