benchmark, result, time
WRR+2W+poxxs+X.litmus, , 8
SB+poxxs.litmus, , 8
3.SB+poxxs.litmus, , 8
Z6.2+poxxs.litmus, , 8
Z6.3+poxxs.litmus, , 8
W+RWC+poxxs.litmus, , 8
Z6.1+poxxs.litmus, , 8
WRC+poxxs+X.litmus, , 9
Z6.0+poxxs.litmus, , 8
ISA2+poxxs.litmus, , 7
Z6.5+poxxs.litmus, , 7
Z6.4+poxxs.litmus, , 6
RWC+poxxs+X.litmus, , 8
MP+poxxs.litmus, , 9
2+2W+poxxs.litmus, , 8
LB+poxxs.litmus, , 9
WWC+poxxs+X.litmus, , 8
R+poxxs.litmus, , 8
S+poxxs.litmus, , 7
3.LB+poxxs.litmus, , 7
3.2W+poxxs.litmus, , 8
WRW+2W+poxxs+X.litmus, , 7
WRW+WR+poxxs+X.litmus, , 8
WRW+2W+poss.litmus, , 7
RWC+dmb.sys+pos.litmus, , 8
WRC+dmb.sys+pos.litmus, , 7
LB+dmb.sys+pos.litmus, , 8
CoRW2+dmb.sys.litmus, , 8
CoWR0.litmus, , 7
SB+dmb.syss.litmus, , 7
2+2W+dmb.sys+pos.litmus, , 7
WRC+dmb.syss.litmus, , 8
LB+dmb.syss.litmus, , 8
MP+pos+dmb.sys.litmus, , 7
R+dmb.sys+pos.litmus, , 8
WRW+2W+dmb.sys+pos.litmus, , 9
CoWW+dmb.sys.litmus, , 8
SB+poss.litmus, , 7
CoRW1.litmus, , 8
MP+dmb.syss.litmus, , 7
WRR+2W+poss.litmus, , 6
WRW+2W+pos+dmb.sys.litmus, , 8
MP+poss.litmus, , 8
MP+dmb.sys+pos.litmus, , 7
WRW+WR+dmb.syss.litmus, , 8
WWC+dmb.syss.litmus, , 7
R+pos+dmb.sys.litmus, , 7
2+2W+dmb.syss.litmus, , 7
CoRR.litmus, , 7
R+poss.litmus, , 7
RWC+pos+dmb.sys.litmus, , 7
WRC+pos+dmb.sys.litmus, , 7
SB+dmb.sys+pos.litmus, , 7
S+poss.litmus, , 7
CoWR0+dmb.sys.litmus, , 7
WRR+2W+pos+dmb.sys.litmus, , 7
WRW+2W+dmb.syss.litmus, , 8
2+2W+poss.litmus, , 7
WWC+pos+dmb.sys.litmus, , 7
WRC+poss.litmus, , 7
WWC+poss.litmus, , 8
LB+poss.litmus, , 7
CoWW.litmus, , 7
RWC+dmb.syss.litmus, , 7
WRW+WR+pos+dmb.sys.litmus, , 8
S+pos+dmb.sys.litmus, , 7
RWC+poss.litmus, , 7
CO-SBI.litmus, , 8
CoRW1+dmb.sys.litmus, , 7
CoRW2.litmus, , 8
S+dmb.sys+pos.litmus, , 7
WRW+WR+dmb.sys+pos.litmus, , 8
WRW+WR+poss.litmus, , 7
R+dmb.syss.litmus, , 8
S+dmb.syss.litmus, , 7
WRR+2W+dmb.syss.litmus, , 7
CoRR+dmb.sys.litmus, , 7
WWC+dmb.sys+pos.litmus, , 7
WRR+2W+dmb.sys+pos.litmus, , 7
SB+dmb.sypa+pola.litmus, , 8
MP+dmb.syll+dmb.st.litmus, , 7
MP+popl+dmb.st.litmus, , 7
R+popl+dmb.sypa.litmus, , 8
MP+popl+dmb.ldpa.litmus, , 7
LB+dmb.syal+dataap.litmus, , 8
MP+dmb.syll+dmb.syaa.litmus, , 7
LB+po+poap.litmus, , 8
MP+dmb.sylp+dmb.sy.litmus, , 7
S+dmb.ldpl+dataal.litmus, , 8
MP+dmb.sylp+dmb.ld.litmus, , 7
S+dmb.sypl+dmb.stap.litmus, , 8
R+dmb.sylp+dmb.stpa.litmus, , 7
MP+dmb.ld+addrpa.litmus, , 7
SB+dmb.sy+dmb.syla.litmus, , 7
3.LB+data+po+po.litmus, , 8
LB+dmb.syaps.litmus, , 7
MP+popl+dmb.syap.litmus, , 7
MP+dmb.stll+poaa.litmus, , 7
MP+poll+popa.litmus, , 8
S+dmb.ldlp+dmb.stpl.litmus, , 7
SB+dmb.ld+dmb.syla.litmus, , 7
WRW+WR+data+dmb.sy.litmus, , 8
MP+dmb.ldlp+dmb.sy.litmus, , 7
MP+dmb.ldlp+poap.litmus, , 7
S+dmb.sypl+dataal.litmus, , 7
MP+dmb.ldlp+dmb.ld.litmus, , 7
Z6.1+dmb.sy+po+dmb.sy.litmus, , 7
2+2W+dmb.stpl+po.litmus, , 8
MP+dmb.stll+addraa.litmus, , 8
SB+dmb.sy+polp.litmus, , 8
S+poll+dmb.ldal.litmus, , 9
LB+dmb.ldal+dataap.litmus, , 7
