benchmark, result, time
C-coRW2+o+o.litmus, , 16
C-coWR+o+o.litmus, , 9
C-mp+o-o-mb-o-o+o-o-rb-o-o.litmus, , 20
C-wwc+o-branch-o+o-branch-o+o.litmus, , 10
release-ordering.litmus, , 41
C-coWW+o+o.litmus, , 7
C-mp+o-o+o-o.litmus, , 8
C-wo+ro-mb-ro+wo-mb-ro.litmus, , 10
C-coRW1+o+o.litmus, , 7
C-mp+o-o-wb-o-o+o-o-rb-o-o.litmus, , 18
C-lb+o-branch-o+o-branch-o.litmus, , 8
C-coRR+o-o+o.litmus, , 8
C-mp+o-wb-o+o-rb+o.litmus, , 9
C-wo+ro-rb-ro+wo-mb-ro.litmus, , 11
C-mp+o-wb-o+loc-rb-loc.litmus, , 11
C-data-race-of-execution.litmus, , 7
C-repload.litmus, , 8
C-AlanStern.2018.01.11a.litmus, , 9
C-propagation-and-write-races.litmus, , 11
C-tearstore.litmus, , 8
C-non-conflicting-writes.litmus, , 12
C-tmpstore.litmus, , 8
MP+wmbplainplain+rmbplainplain.litmus, , 9
C-OOTA.litmus, , 10
C-tearload.litmus, , 9
C-IngoMolnar-1Cond.litmus, , 8
C-RomanPenyaev-list-rcu-rr-dart-def-of-null.litmus, , 341
C-RomanPenyaev-list-rcu-rr.litmus, , 336
C-PaulEMcKenney-MP+o-r+ai-mb-o.litmus, , 11
C-IngoMolnar-2If.litmus, , 10
C-piggin-SB+samevar.litmus, , 8
MP-release-acquire.litmus, , 10
C-2+2W+o-wmb-o+o-wmb-o.litmus, , 7
C-RomanPenyaev-list-rcu-rr-WA-dart-def-of-null.litmus, , 338
C-BoqunFeng-membarrier.litmus, , 12
C-DavidlohrBueso-sem.litmus, , 18
C-ManfredSpraul-L1G1xchgnr.litmus, 
C-PaulEMcKenney-S+o-sync-o+o-o.litmus, , 9
C-AlanStern-WRC+o-unlock+lock-o.litmus, , 11
C-2+2W+o-r+o-r.litmus, , 8
SB-release-acquire.litmus, , 13
C-WillDeacon-AcqRelStore.litmus, , 11
C-PeterZijlstra+o-r+o-r+a-o-SB.litmus, , 19
C-ManfredSpraul-L1G1xchg.litmus, 
C-MPrelseq+o-r+rmwinc+a-o.litmus, , 12
WRC-release-acquire.litmus, , 15
LB-release-acquire.litmus, , 14
C-IngoMolnar-After.litmus, , 8
C-PaulEMcKenney-S+o-sync-o+o-c-o.litmus, , 8
C-IngoMolnar-2Reads.litmus, , 11
C-IngoMolnar.litmus, , 9
C-OlivierGiroux-cppR.litmus, , 11
C-W+MP+o+o-wmb-o+o-rmb-o.litmus, , 13
MP-o-sync-o+rl-o-ctl-o-rul.litmus, , 9
C-PaulEMcKenney-MP+o-sync-o+o-o.litmus, , 8
C-RomanPenyaev-list-rcu-rr-WA.litmus, , 344
C-RW-G+RW-C.litmus, , 8
C-ManfredSpraul-L1G2xchg.litmus, 
C-ManfredSpraul-Sem.litmus, , 16
C-MP-o-A-o+o-A-o.litmus, , 15
C-PeterZijlstra+o-r+o-r+a-o-SB1.litmus, , 14
C-seqctr.litmus, , 44
C-RW-R+RR-G+WR-B.litmus, , 12
C-WillDeacon-MP+o-r+ai-rmb-o.litmus, , 12
SUW+or-ow+l-ow-or.litmus, , 16
SUW+or-ow+la-ow-or.litmus, , 14
rel-acq-write-ordering-2.litmus, , 9
rel-acq-write-ordering-1.litmus, , 11
C-lb+deref-o+deref-o.litmus, , 8
C-wrc+rel+acq-rel+acq-rel.litmus, , 10
C-3.lb+o-mb-o+o-mb-o+o-addr-o.litmus, , 13
C-less-super-dist-2+2w+rel+acq-rel+acq-o+o-wmb-o+o-wmb-o.litmus, , 19
C-wrc+assign+deref-assign+deref-o.litmus, , 9
C-3.lb+deref-addr-assign+deref-addr-assign.litmus, , 14
C-mp+o-rel+acq-o.litmus, , 7
C-rel-seq3.litmus, , 63
C-rel-seq1.litmus, , 9
C-rel-seq2.litmus, , 22
C-rel-seq4.litmus, , 21
C-lb+acq-o+acq-o.litmus, , 9
C-3.lb+o-mb-o+o-mb-o.litmus, , 11
C-wrc+o-mb-o+o-rb-o2.litmus, , 10
C-LB+dataonceonce+dataonceonce-wsionceonce-rfionceonce-frionceonce.litmus, , 38
C-lb+o-assign+o-assign.litmus, , 9
C-lb+o-assign+deref-o.litmus, , 9
C-lb+o-rel+acq-o.litmus, , 7
C-wrc+assign+deref-o+o-rb-o.litmus, , 11
C-LB+dataonceonce+dataonceonce-rfionceonce-frionceonce-wsionceonce.litmus, , 40
C-isa2+o-rel+acq-rel+acq-o.litmus, , 10
C-LB+dataonceonce+dataonceonce-rfionceonce-frionceonce.litmus, , 19
C-Weak-RCU-Readers-With-More-Grace.litmus, , 26
C-isa2+o-rel+acq-o+o-rb-o.litmus, , 9
C-wrc+o-mb-o+o-mb-o2.litmus, , 11
C-wrc+o+o-rel+acq-o.litmus, , 10
C-LB+dataonceonce+dataoncerelease-wsireleaseonce-rfionceonce-frionceonce.litmus, , 38
C-dist-2+2w+rel+acq-o+o-wmb-o.litmus, , 12
C-LB+dataonceonce+dataonceonce-wsionceonce.litmus, , 10
C-MP+fencewmbonceonce+addronceonce-[fronceonce-rf]onceonce.litmus, , 23
C-mp+o-rel+deref-addr-o.litmus, , 9
C-dist-2+2w+rel+acq-o+o-rel.litmus, , 10
C-wrc+o+o-o+o-o.litmus, , 11
C-sb+rel-o+rel-o.litmus, , 8
C-super-dist-2+2w+rel+acq-assign+deref-addr-o+o-wmb-o+o-wmb-o.litmus, , 41
C-alt-ww-rw+rel+acq-o+o-rel+acq-o+o-wb-rel+acq-o.litmus, , 82
C-isa2+o-assign+deref-o+o-rb-o.litmus, , 11
C-3.lb+o-rel+acq-rel+acq-o.litmus, , 11
C-LB+dataonceonce+dataoncerelease-wsireleaseonce.litmus, , 10
C-lb+o-assign+deref-addr-o.litmus, , 9
C-3.lb+o-assign+deref-addr-o.litmus, , 13
C-sb+rel-acq+rel-acq.litmus, , 7
C-lb+deref-addr-o+deref-addr-o.litmus, , 10
C-isa2+o-rel+acq-assign+deref-addr-o.litmus, , 11
C-S+fencembonceonce+dataonceonce-wsionceonce.litmus, , 10
C-S+fencembonceonce+dataonceonce-rfionceonce-frionceonce-wsionceonce.litmus, , 21
C-Weak-RCU-Readers.litmus, , 9
C-isa2+o-wb-o+o-mb-o+o-rb-o.litmus, , 13
C-less-super-dist-2+2w+rel+acq-assign+deref-addr-o+o-wmb-o+o-wmb-o.litmus, , 20
C-3.lb+o-mb-o+o-mb-o+ctrl-branch-o.litmus, , 12
C-super-dist-2+2w+rel+acq-rel+acq-o+o-wmb-o+o-wmb-o.litmus, , 37
C-lb+o-rel+o-rel.litmus, , 8
C-S+fencembonceonce+dataoncerelease-wsireleaseonce.litmus, , 11
C-wrc+rel+acq-o+o-rb-o.litmus, , 10
C-3.lb+o-o+o-o.litmus, , 10
C-lb+rel-acq+rel-acq.litmus, , 9
C-lb+o-o+o-o.litmus, , 8
C-alt-ww-rw+rel+acq-rel+acq-o+o-wb-rel+acq-o+o-wb-o.litmus, , 87
C-lb+ctrl-branch-o+ctrl-branch-o.litmus, , 7
C-3.lb+acq-rel+acq-rel.litmus, , 11
C-lb+o-mb-o+o-mb-o.litmus, , 7
C-S+fencembonceonce+dataoncerelease-wsireleaseonce-rfionceonce-frionceonce.litmus, , 22
C-wrc+rel+acq-rel+acq-o.litmus, , 10
C-lb+deref-addr-assign+deref-addr-assign.litmus, , 8
C-dist-2+2w+o-o+o-o.litmus, , 11
C-isa2+o-o+o-o+o-o.litmus, , 9
C-3.lb+o-branch-o+o-branch-o.litmus, , 8
C-isa2+o-assign+deref-addr-o+o-rb-o.litmus, , 10
C-say-wot.litmus, , 19
C-S+fencembonceonce+dataonceonce-rfionceonce-frionceonce.litmus, , 14
C-lb+o-branch-o+o-branch-o.litmus, , 7
C-lb+deref-assign+deref-assign.litmus, , 9
C-3.lb+o-mb-o+o-mb-o+o-branch-o.litmus, , 9
C-sb+o-o+o-o.litmus, , 8
C-wrc+o-mb-o+o-rb-o.litmus, , 11
C-say-captain.litmus, , 14
C-Weak-RCU-Readers-With-Grace.litmus, , 13
C-mp+o-assign+deref-o.litmus, , 8
C-S+fencembonceonce+dataonceonce-wsionceonce-rfionceonce-frionceonce.litmus, , 21
C-3.lb+once-rel+acq-rel+acq-once.litmus, , 12
C-3.lb+acq-o+acq-o.litmus, , 11
C-rcu-link-after.litmus, , 16
C-rcu-link-before.litmus, , 17
C-ISA2-6+o-sync-o+o-sync-o+o-sync-o+rl-o-o-rul+rl-o-o-rul+rl-o-o-rul.litmus, , 130
C-locktest.litmus, , 151
C-3.SB+o-o+o-mb-o+o-mb-o.litmus, , 11
C-LB+acq-o+acq-o+acq-o.litmus, , 11
C-wmb-is-B-cumulative.litmus, , 12
C-LB+o-sync-sync-o+rl-o-o-rul+rl-o-o-rul.litmus, , 15
C-release-acquire-is-B-cumulative.litmus, , 9
C-rcu-relacq1.litmus, , 11
C-atomicpo.litmus, , 11
C-CO+o-o+o-o.litmus, , 10
C-rcu-relacq1-relacq.litmus, , 10
C-release-is-not-B-cumulative.litmus, , 11
C-WWC+o+o-rel+acq-o.litmus, , 12
C-SB+o-mb-o+o-mb-o.litmus, , 7
C-MP2+o-o-wmb-o-o+o-rmb-o+o-rmb-o.litmus, , 17
C-2+2W+o-wmb-o+o-wmb-o.litmus, , 10
C-WWC+o+acq-o+acq-o.litmus, , 12
C-LB+o-sync-o+rl-o-o-rul.litmus, , 10
C-3.SB+o-mb-o+o-mb-o+o-mb-o.litmus, , 10
C-W+WRC+o-rel+acq-o+o-mb-o.litmus, , 9
C-po-loc.litmus, , 10
C-RW-R+RW-G+RW-R.litmus, , 14
C-LB+o-o+o-o+o-o.litmus, , 9
C-IRIW+o+o+o-mb-o+o-mb-o.litmus, , 16
C-relseq.litmus, , 20
C-LB+o-o+o-o.litmus, , 9
C-RR-R+WW-G.litmus, , 8
C-RW-R+RW-Gr+RW-Ra.litmus, , 12
C-LB+o-sync-o+rl-o-o-rul+o-rl-rul-o+o-sync-o.litmus, , 26
C-wmb-is-not-A-cumulative.litmus, , 12
C-R+o-wmb-o+o+mb+o.litmus, , 8
C-WRC-o+o-data-o+o-rmb-o.litmus, , 12
C-MP+o-rel+acq-o.litmus, , 9
C-MP+o-mb-o+o-mb-o.litmus, , 9
