benchmark, result, time
DETOUR0474.litmus, , 50
DETOUR0253.litmus, , 21
safe402.litmus, , 47
safe225.litmus, , 12
i4.litmus, , 59
LB+PPO0419.litmus, , 43
IRIW+sync+isync.litmus, , 16
Z6.2+po+sync+po.litmus, , 11
DETOUR1150.litmus, , 32
DETOUR1285.litmus, , 19
Z6.3+po+sync+lwsync.litmus, , 12
Z6.0+po+lwsync+po.litmus, , 13
RWC+ctrl+isync.litmus, , 13
Z6.0+syncs.litmus, , 14
W5.litmus, , 107
safe499.litmus, , 137
DETOUR0507.litmus, , 408
safe083.litmus, , 19
Z6.3+sync+po+po.litmus, , 12
WRW+2W+sync+rfi-data.litmus, , 21
LB+PPO0482.litmus, , 58
bclwdww017.litmus, , 20
DETOUR1023.litmus, , 15
S+PPO405.litmus, , 154
MP+PPO489.litmus, , 60
DETOUR0909.litmus, , 347
DETOUR0547.litmus, , 128
DETOUR0360.litmus, , 19
DETOUR0692.litmus, , 19
DETOUR0288.litmus, , 16
safe531.litmus, , 22
3.2W+sync+lwsync+rfi-data.litmus, , 21
RWC+sync+po.litmus, , 12
DETOUR1063.litmus, , 16
LB+PPO0459.litmus, , 41
m4.litmus, , 12
safe058.litmus, , 12
DETOUR0434.litmus, , 16
DETOUR0992.litmus, , 35
safe442.litmus, , 51
DETOUR0609.litmus, , 27
Z6.3+sync+po+lwsync.litmus, , 16
S+PPO536.litmus, , 120
DETOUR1110.litmus, , 21
DETOUR1336.litmus, , 83
MP+PPO674.litmus, , 84
CO-2+2W.litmus, , 11
S+PPO710.litmus, , 28
DETOUR0861.litmus, , 38
DETOUR0208.litmus, , 35
safe043.litmus, , 12
safe396.litmus, , 21
podrwposwr052.litmus, , 34
DETOUR0612.litmus, , 32
safe459.litmus, , 43
Z6.5+lwsync+rfi-data+sync.litmus, , 20
DETOUR1245.litmus, , 14
DETOUR1190.litmus, , 16
safe130.litmus, , 45
DETOUR0912.litmus, , 20
DETOUR0689.litmus, , 45
DETOUR0761.litmus, , 31
Z6.0+sync+sync+lwsync.litmus, , 12
W+RWC+lwsync+sync+po.litmus, , 12
LB+PPO0531.litmus, , 56
MP+PPO747.litmus, , 172
aclwdrr015.litmus, , 17
DETOUR1205.litmus, , 16
LB+datas+WW.litmus, , 13
DETOUR1038.litmus, , 18
LB+PPO0571.litmus, , 32
ISA2+lwsync+isync+sync.litmus, , 16
safe170.litmus, , 13
DETOUR0952.litmus, , 22
DETOUR0721.litmus, , 14
safe098.litmus, , 19
podrr007.litmus, , 44
S+PPO750.litmus, , 171
PPO011.litmus, , 16
MP+sync+ctrl-data-detw.litmus, , 48
LB+sync+data.litmus, , 12
RW-rwa+RW-ra+RW-rwa+CK-PPC.litmus, , 19
DETOUR0248.litmus, , 122
safe419.litmus, , 20
DETOUR0587.litmus, , 31
DETOUR0877.litmus, , 69
DETOUR0439.litmus, , 438
safe055.litmus, , 20
safe268.litmus, , 43
LB+PPO0454.litmus, , 153
LB+PPO0273.litmus, , 57
DETOUR1320.litmus, , 35
MP+lwsync+sync.litmus, , 10
MP+po+lwsync.litmus, , 11
MP+PPO390.litmus, , 45
Z6.3+sync+rfi-data+sync.litmus, , 21
safe126.litmus, , 45
DETOUR0904.litmus, , 12
DETOUR0285.litmus, , 45
DETOUR0777.litmus, , 23
DETOUR1186.litmus, , 12
IRRWIW+po+lwsync.litmus, , 19
safe166.litmus, , 47
DETOUR0944.litmus, , 121
DETOUR0737.litmus, , 12
LB+ctrl+po.litmus, , 11
MP+PPO922.litmus, , 154
S+PPO846.litmus, , 168
MP+PPO484.litmus, , 123
aclwdrr003.litmus, , 24
ISA2+sync+isync+isync.litmus, , 12
DETOUR1213.litmus, , 32
Z6.1+rfi-data+sync+data.litmus, , 23
W+RWC+po+lwsync+po.litmus, , 13
WRW+WR+syncs.litmus, , 12
ISA2+lwsync+data+isync.litmus, , 13
DETOUR0479.litmus, , 16
safe228.litmus, , 48
WRC+po+ctrl.litmus, , 15
