benchmark, result, time
m55.litmus, , 17
MP+mfence-rmw+po.litmus, , 11
m34if.litmus, , 12
R+mfence-po+rfi-po.litmus, , 12
WRW+WR+po+mfence.litmus, , 11
amd5.litmus, , 10
m15.litmus, , 11
RR+RR+rmw-pos.litmus, , 13
x86-m4.litmus, , 11
SB+rfi-po+po-rfi-po.litmus, , 13
iwp2.3.a-amd4.mfence.litmus, , 10
X003.litmus, , 11
W+RW+WW+RW.litmus, , 14
WW+RR+WR+WR+po+po+rfi-po+po.litmus, , 20
LB+rmw-po+po-rmw.litmus, , 16
n2.litmus, , 21
R+po+mfence-pos-po.litmus, , 10
RW+WR+rmw-po+rfi-po.litmus, , 14
WW+WR+WW+WR+po+mfence+po+po.litmus, , 14
R+po+po-mfence-pos.litmus, , 12
WW+RR+WR+WR+po+po+mfence+po.litmus, , 15
iwp2.8.a.litmus, , 13
W+RW+RR+WR+po+po+mfence.litmus, , 14
MP+po+po-po-pos.litmus, , 12
W+RR+WR+WR+po+rfi-po+mfence.litmus, , 18
W+RR+WR+WR+po+po+rfi-po.litmus, , 18
WR+po-rfi-po.litmus, , 10
3.SB+mfence+po+rfi-po.litmus, , 14
WW+WW+WR+WR+po+po+po+rfi-po.litmus, , 19
4.SB+mfences.litmus, , 15
MP+po+pos-po-po001.litmus, , 12
WW+WR+WW+WR+po+mfence+po+mfence.litmus, , 15
MP+po+pos-pos-po.litmus, , 13
Z6.5+po+po+mfence.litmus, , 12
MP+po+pos-po-mfence.litmus, , 12
intel.cc.litmus, , 24
SB+mfence+po.litmus, , 11
podrw000.litmus, , 10
pso.litmus, 
WW+WR+WR+WR+po+rfi-po+po+rfi-po.litmus, , 34
Z6.4.litmus, , 10
m44ii.litmus, , 12
2+2W+mfence-po+rfi-po.litmus, , 11
MP+po+fri-rfi-po.litmus, , 15
m34.litmus, , 11
SB.litmus, , 10
W+RW+RW+WW.litmus, , 16
3.SB.litmus, , 11
mfence2.litmus, , 16
R+po+mfence-po-rfi.litmus, , 11
4.SB+mfence+po+po+po.litmus, , 15
m22.litmus, , 9
W+RR+WR+WR+po+mfence+mfence.litmus, , 15
R+po+po-rfi-pos.litmus, , 16
WW+RW+RW+WR+po+po+po+rfi-po.litmus, , 23
S+mfence-rmw+rmw-po.litmus, , 17
WW+WR+WR+WR+po+mfence+mfence+po.litmus, , 15
WW+WR+WR+WR+po+mfence+rfi-po+po.litmus, , 17
MP+po+po-pos-pos.litmus, , 13
RR+RR+rmw-mfence+rmw-po.litmus, , 12
test.intel.1.litmus, , 10
MP+po+pos-po-rfi.litmus, , 13
W+RWC.litmus, , 11
MP+po+po-pos.litmus, , 12
4.SB+mfence+mfence+po+po.litmus, , 14
4.SB+rfi-pos.litmus, , 94
WW+WR+WR+WR+po+po+po+mfence.litmus, , 15
intel.rwc.litmus, , 11
R+po+mfence-po-po.litmus, , 12
S+po+po-rmw.litmus, , 11
R+po+po-fri-po.litmus, , 11
WW+WW+RW+RW.litmus, , 15
R+po+rfi-po-po001.litmus, , 11
2+2W+mfence-po+po-rfi-po.litmus, , 12
WW+RR+WR+WR+po+po+rfi-po+rfi-po.litmus, , 29
R+mfence-po+po-rfi-po.litmus, , 12
iwp2.6.litmus, , 26
WW+RW+RR+WR+po+po+po+rfi-po.litmus, , 21
RR+RW+rmw-mfence+rmw-po.litmus, , 15
iwp2.3.b.litmus, , 9
2+2W+po-rfi-pos.litmus, , 14
R+po+po-pos.litmus, , 10
4.SB.litmus, , 15
R+po+rfi-po-mfence.litmus, , 13
intel.4.litmus, , 12
WW+WR+WR+WR+po+po+mfence+rfi-po.litmus, , 20
SB+mfence+rfi-po.litmus, , 10
MP+po+po-po-rfi001.litmus, , 13
X001.litmus, , 10
WW+WW+WW+WR+po+po+po+rfi-po.litmus, , 23
W+RR+WW+RW.litmus, , 14
MP+po+fri-po-mfence.litmus, , 13
RWC+po+mfence.litmus, , 11
MP+po+po-po-mfence.litmus, , 12
4.SB+mfence+mfence+po+rfi-po.litmus, , 19
MP+po+pos-po-po.litmus, , 13
R+po+mfence-pos.litmus, , 11
RR+WR+rmw-po+mfence.litmus, , 12
WW+WR+WR+WR+po+mfence+po+po.litmus, , 15
LB+po+rmw-po.litmus, , 11
RR+WR+rmw-po+po.litmus, , 10
WW+RR+WR+WR+po+po+mfence+rfi-po.litmus, , 18
WW+RW+RW+RW.litmus, , 14
W+RW+WR+WR+po+po+rfi-po.litmus, , 16
W+RW+RR+WW.litmus, , 15
6.SB.litmus, , 41
m44if.litmus, , 12
S+mfence-rmw+po.litmus, , 11
CoRWRR.litmus, , 16
R+po-rfi-po+rfi-po.litmus, , 14
4.SB+mfence+rfi-po+mfence+po.litmus, , 20
Z6.4+po+po+rfi-po.litmus, , 14
4.SB+mfence+rfi-po+rfi-po+po.litmus, , 29
WW+WR+WR+WR+po+po+rfi-po+rfi-po.litmus, , 28
W+RW+WR+WW.litmus, , 15
R+po+po-po001.litmus, , 11
SB3.litmus, , 11
