benchmark, result, time
C-atomic-cmpxchg-success-04.litmus, FAIL, 41
C-atomic-op-return-simple-03-2.litmus, PASS, 56
C-atomic-op-return-simple-01-8.litmus, PASS, 46
basic-04.litmus, PASS, 38
basic-03.litmus, FAIL, 33
C-bool-const-02.litmus, FAIL, 33
basic-07.litmus, PASS, 47
basic-06.litmus, FAIL, 30
basic-05.litmus, FAIL, 31
basic-02.litmus, FAIL, 30
C-bool-const-01.litmus, FAIL, 35
basic-01.litmus, PASS, 37
C-re-02.litmus, FAIL, 36
C-atomic-cmpxchg-success-05.litmus, FAIL, 44
C-atomic-op-return-simple-05.litmus, PASS, 38
C-atomic-fetch-simple-01.litmus, FAIL, 36
C-atomic-fetch-simple-04.litmus, PASS, 40
C-atomic-operator-02.litmus, PASS, 64
C-atomic-fetch-simple-03-2.litmus, PASS, 50
C-atomic-xchg-simple-03.litmus, PASS, 49
C-xchg-simple-03.litmus, PASS, 50
C-atomic-fetch-simple-02.litmus, FAIL, 39
C-atomic-cmpxchg-failure-02.litmus, PASS, 57
C-idd-02.litmus, FAIL, 52
C-atomic-op-return-simple-02-2.litmus, FAIL, 47
C-atomic-cmpxchg-success-03.litmus, PASS, 38
C-atomic-op-and-test-03.litmus, FAIL, 40
C-atomic-cmpxchg-01.litmus, PASS, 48
C-atomic-op-return-simple-01.litmus, FAIL, 39
C-atomic-cmpxchg-failure-03.litmus, FAIL, 49
C-atomic-op-noreturn-02.litmus, PASS, 56
C-atomic-fetch-simple-05.litmus, PASS, 39
C-basic-01.litmus, PASS, 52
C-atomic-op-return-simple-01-7.litmus, PASS, 42
C-atomic-add-unless-04.litmus, FAIL, 81
C-atomic-op-return-simple-01-2.litmus, FAIL, 42
C-atomic-op-and-test-04.litmus, FAIL, 49
C-idd-01.litmus, FAIL, 41
C-atomic-add-unless-05.litmus, PASS, 86
C-atomic-cmpxchg-success-06.litmus, FAIL, 46
C-atomic-op-return-simple-02.litmus, FAIL, 42
C-atomic-op-and-test-01.litmus, FAIL, 37
C-xchg-simple-02.litmus, FAIL, 33
C-atomic-op-return-simple-01-5.litmus, FAIL, 42
C-idd-04.litmus, FAIL, 52
C-atomic-cmpxchg-success-01-2.litmus, FAIL, 71
C-atomic-op-return-simple-04.litmus, PASS, 38
C-ctrl-05.litmus, PASS, 84
C-atomic-add-unless-01.litmus, FAIL, 38
C-ctrl-04.litmus, FAIL, 78
C-smp-store-01.litmus, FAIL, 40
C-basic-03.litmus, FAIL, 35
C-atomic-operator-01.litmus, FAIL, 39
C-atomic-cmpxchg-failure-01-2.litmus, FAIL, 73
C-atomic-xchg-simple-01.litmus, PASS, 36
C-atomic-op-return-simple-01-3.litmus, FAIL, 41
C-atomic-fetch-simple-02-2.litmus, FAIL, 47
C-atomic-op-return-simple-01-4.litmus, FAIL, 41
C-atomic-op-return-simple-01-6.litmus, PASS, 40
C-atomic-op-return-simple-03.litmus, FAIL, 41
C-atomic-fetch-simple-01-2.litmus, FAIL, 41
C-atomic-op-noreturn-01.litmus, PASS, 59
C-atomic-cmpxchg-failure-01.litmus, FAIL, 71
C-cmpxchg-01.litmus, PASS, 51
C-re-01.litmus, FAIL, 38
C-atomic-fetch-simple-03.litmus, FAIL, 41
C-atomic-xchg-simple-02.litmus, FAIL, 32
C-ctrl-03.litmus, PASS, 68
C-atomic-add-unless-02.litmus, FAIL, 40
C-atomic-op-and-test-05.litmus, PASS, 69
C-smp-store-02.litmus, PASS, 55
C-atomic-op-noreturn-03.litmus, FAIL, 40
C-atomic-cmpxchg-success-02.litmus, FAIL, 42
C-atomic-add-unless-03.litmus, FAIL, 52
C-idd-03.litmus, FAIL, 54
C-atomic-op-return-simple-01-9.litmus, PASS, 46
C-ctrl-02.litmus, PASS, 69
C-xchg-simple-01.litmus, PASS, 49
C-re-03.litmus, FAIL, 39
C-basic-02.litmus, PASS, 84
C-atomic-cmpxchg-success-01.litmus, PASS, 114
C-atomic-cmpxchg-failure-05.litmus, PASS, 69
C-atomic-cmpxchg-failure-04.litmus, PASS, 73
C-ctrl-01.litmus, FAIL, 62
C-atomic-cmpxchg-success-07.litmus, FAIL, 62
C-atomic-op-and-test-02.litmus, FAIL, 66
C-WW-G+WW-R+WW-G+WW-R+WW-R+WW-R+WW-G+WW-R.litmus, FAIL, 96
C-RW-G+RW-R+RW-G+RW-R+RW-G+RW-R+RW-G+RW-R+RW-G+RW-R+RW-G+RW-R+RW-G+RW-R+RW-G+RW-R.litmus, PASS, 545
C-LB-GRW+R-Dd+R-A+R-A+OB-OB.litmus, PASS, 274
C-LB-LRW+R-A+R-A+R-Oc.litmus, PASS, 74
C-RW-G+RW-Rs+RW-RD+RW-G+RW-R+RW-R+RW-G+RW-R.litmus, PASS, 145
C-RW-G+RW-RB+RW-G+RW-G+RW-G+RW-R.litmus, PASS, 777
C-RW-G+RW-Rrd+RW-D+RW-R+RW-G+RW-G+RW-R+RW-R.litmus, PASS, 155
C-LB-LWW+R-Dd+OB-O+R-A+OB-OB.litmus, PASS, 103
C-RW-R2I+RW-R2I.litmus, FAIL, 41
C-LB-GRW+R-Dd+R-Dd+OB-O+OB-OB.litmus, PASS, 284
C-RR-G+RR-R+RR-R+RR-G+RR-G+RR-G+RR-R.litmus, PASS, 676
C-RR-G+RR-R+RR-R+RR-R+RR-G+RR-R+RR-R.litmus, FAIL, 95
C-RW-G+RW-B+RW-G+RW-G+RW-G+RW-G+RW-B.litmus, PASS, 1145
C-LB-GRW+R-A+OB-O+R-Oc+R-Oc.litmus, PASS, 125
C-LB-GRR+R-Dd+R-A+OB-OB.litmus, PASS, 114
C-WW-G+WW-G+WW-G+WW-B+WW-G+WW-G+WW-R.litmus, PASS, 341
C-RW-G+RW-R+RW-G+RW-R+RW-G+RW-G+RW-Rrd+RW-D.litmus, PASS, 884
C-LB-Lwr+R-A+R-D+R-OC.litmus, FAIL, 58
C-LB-LRW+R-Dd+R-A+R-A+R-A.litmus, PASS, 79
C-LB-GWW+R-Dd+OB-OB.litmus, PASS, 84
C-LB-GWR+R-Dd+R-A+OB-O+R-A.litmus, PASS, 84
C-LB-LWW+R-Dd+R-A+R-A+R-Oc.litmus, PASS, 83
C-LB-LRW+R-Dd+R-Dd+R-A+R-A.litmus, PASS, 83
C-LB-LRW+R-Oc+O-O+OB-O+OB-OB.litmus, PASS, 118
C-RW-G+RW-G+RW-RI+RW-G+RW-G+RW-RI.litmus, PASS, 431
C-RW-G+RW-G+RW-R+RW-R+RW-R+RW-R+RW-G+RW-G+RW-G+RW-G+RW-R.litmus, PASS, 2041
C-RW-R+RW-R+RW-G+RW-G+RW-G+RW-G+RW-R+RW-R+RW-R+RW-R+RW-G+RW-R.litmus, FAIL, 95
C-RW-G+RW-RB+RW-R+RW-G+RW-G+RW-G+RW-R+RW-R.litmus, PASS, 1133
