benchmark, result, time
ttas-5.c, \gtick, 18336
ttas-5-acq2rx.c, \gtick, 18474
ttas-5-rel2rx.c, \gtick, 18151
ticketlock-3.c, \gtick, 12
ticketlock-3-acq2rx.c, \gtick, 12
ticketlock-3-rel2rx.c, \gtick, 12
mutex-3.c, \gtick, 834
mutex-3-acq2rx-futex.c, \gtick, 806
mutex-3-acq2rx-lock.c, \gtick, 797
mutex-3-rel2rx-futex.c, \gtick, 792
mutex-3-rel2rx-unlock.c, \gtick, 800
spinlock-5.c, \gtick, 17195
spinlock-5-acq2rx.c, \gtick, 17184
spinlock-5-rel2rx.c, \gtick, 17353
linuxrwlock-3.c, \gtick, 50
linuxrwlock-3-acq2rx.c, \gtick, 50
linuxrwlock-3-rel2rx.c, \gtick, 50
mutex_musl-3.c, \gtick, 793
mutex_musl-3-acq2rx-futex.c, \gtick, 774
mutex_musl-3-acq2rx-lock.c, \gtick, 777
mutex_musl-3-rel2rx-futex.c, \gtick, 778
mutex_musl-3-rel2rx-unlock.c, \gtick, 802
