benchmark, result, time
Z6.0+lwsync+sync+lwsync.litmus, FAIL, 693
Z6.5+sync+po+lwsync.litmus, FAIL, 69
LB+PPO0253.litmus, PASS, 130
LB+PPO0378.litmus, PASS, 78
safe228.litmus, PASS, 67
safe124.litmus, PASS, 77
DETOUR0459.litmus, FAIL, 44
safe439.litmus, PASS, 64
safe488.litmus, PASS, 48
S+PPO543.litmus, PASS, 69
DETOUR0598.litmus, FAIL, 47
DETOUR1199.litmus, FAIL, 47
safe280.litmus, PASS, 53
DETOUR0750.litmus, FAIL, 18
DETOUR0337.litmus, FAIL, 41
ISA2+sync+data+isync.litmus, FAIL, 48
DETOUR0474.litmus, FAIL, 55
DETOUR0328.litmus, FAIL, 47
Z6.3+sync+rfi-data+lwsync.litmus, FAIL, 41
DETOUR1331.litmus, FAIL, 39
DETOUR0850.litmus, FAIL, 58
DETOUR0756.litmus, FAIL, 59
DETOUR0193.litmus, FAIL, 40
podwr000.litmus, FAIL, 27
safe202.litmus, PASS, 52
Z6.3+syncs.litmus, PASS, 41
DETOUR0319.litmus, FAIL, 36
DETOUR0267.litmus, PASS, 42
SB+lwsyncs.litmus, FAIL, 29
R+sync+po.litmus, FAIL, 28
safe487.litmus, PASS, 45
LB+PPO0432.litmus, FAIL, 45
DETOUR0567.litmus, FAIL, 35
DETOUR1142.litmus, FAIL, 47
DETOUR0270.litmus, FAIL, 40
DETOUR0282.litmus, FAIL, 46
aclwdrr033.litmus, PASS, 37
DETOUR0198.litmus, FAIL, 33
IRIW+lwsync+sync.litmus, FAIL, 31
aclwdrr001.litmus, FAIL, 39
DETOUR0760.litmus, PASS, 63
DETOUR0246.litmus, PASS, 44
DETOUR1272.litmus, FAIL, 43
S+sync+data.litmus, PASS, 31
DETOUR0505.litmus, FAIL, 53
safe376.litmus, PASS, 43
DETOUR0684.litmus, PASS, 40
S+sync+isync.litmus, FAIL, 27
podrw001.litmus, FAIL, 38
W+RWC+lwsync+sync+po.litmus, FAIL, 31
DETOUR1042.litmus, FAIL, 32
Z6.3+lwsync+po+sync.litmus, FAIL, 32
DETOUR1070.litmus, FAIL, 34
MP+PPO946.litmus, PASS, 39
WRW+WR+lwsync+sync.litmus, FAIL, 30
S+PPO536.litmus, PASS, 43
S+po+sync.litmus, FAIL, 29
WRC+lwsync+ctrl.litmus, FAIL, 28
3.SB+lwsyncs.litmus, FAIL, 33
safe129.litmus, PASS, 54
S+isyncs.litmus, FAIL, 26
ISA2+lwsync+po+ctrl.litmus, FAIL, 31
safe125.litmus, PASS, 43
IRIW+sync+lwsync.litmus, FAIL, 27
LB+PPO0343.litmus, FAIL, 38
3.LB.litmus, FAIL, 28
DETOUR0931.litmus, FAIL, 35
DETOUR0262.litmus, PASS, 32
2+2WLocalFenced.litmus, FAIL, 36
DETOUR0999.litmus, FAIL, 33
safe500.litmus, PASS, 50
ISA2+sync+lwsync+ctrlisync.litmus, PASS, 33
DETOUR1060.litmus, FAIL, 43
safe431.litmus, PASS, 50
LB+PPO0263.litmus, PASS, 37
S+PPO846.litmus, PASS, 42
DETOUR1220.litmus, FAIL, 40
DETOUR0725.litmus, FAIL, 32
DETOUR0557.litmus, FAIL, 35
RWC+lwsync+isync.litmus, FAIL, 25
IRIW+isync+ctrlisync.litmus, FAIL, 26
Z6.3+sync+lwsync+lwsync.litmus, FAIL, 34
RWC+sync+isync.litmus, FAIL, 27
LB+PPO0459.litmus, PASS, 38
S+PPO740.litmus, PASS, 40
DETOUR0538.litmus, FAIL, 30
DETOUR0993.litmus, FAIL, 27
DETOUR0943.litmus, FAIL, 31
Z6.4+lwsyncs.litmus, FAIL, 29
safe410.litmus, PASS, 32
safe142.litmus, PASS, 42
SB+lwsync+po.litmus, FAIL, 34
safe130.litmus, PASS, 38
Z6.2+po+po+sync.litmus, FAIL, 29
safe437.litmus, PASS, 29
DETOUR0373.litmus, FAIL, 30
Z6.1+lwsync+rfi-data+lwsync.litmus, FAIL, 33
safe426.litmus, PASS, 30
Z6.1+rfi-data+sync+data.litmus, FAIL, 31
DETOUR0491.litmus, FAIL, 33
S+PPO749.litmus, PASS, 38
MP+PPO422.litmus, PASS, 31
3.2W+sync+sync+rfi-data.litmus, FAIL, 33
S+PPO693.litmus, PASS, 36
Z6.4+rfi-data+sync+sync.litmus, FAIL, 29
DETOUR0957.litmus, FAIL, 30
safe076.litmus, PASS, 37
DETOUR0794.litmus, FAIL, 33
podrwposwr055.litmus, FAIL, 40
safe274.litmus, PASS, 35
S+PPO283.litmus, PASS, 26
S+PPO405.litmus, PASS, 40
Z6.5+lwsync+rfi-data+sync.litmus, FAIL, 31
MP+PPO390.litmus, PASS, 39
safe530.litmus, PASS, 35
LB+PPO0496.litmus, PASS, 42
podrwposwr052.litmus, FAIL, 40
safe213.litmus, PASS, 36
DETOUR1279.litmus, FAIL, 46
Z6.1+po+lwsync+sync.litmus, FAIL, 30
3.SB+lwsync+sync+lwsync.litmus, FAIL, 26
DETOUR0702.litmus, PASS, 27
R+lwsync+sync.litmus, FAIL, 23
Z6.1+rfi-data+rfi-data+data.litmus, FAIL, 33
safe396.litmus, PASS, 30
iriwv6.litmus, FAIL, 24
2+2W+lwsync+isync.litmus, FAIL, 23
3.SB+lwsync+po+po.litmus, FAIL, 28
WRC+po+ctrl.litmus, FAIL, 24
DETOUR0360.litmus, FAIL, 28
MP+PPO364.litmus, PASS, 32
safe491.litmus, PASS, 31
o5.litmus, FAIL, 25
WRC+isync+sync.litmus, FAIL, 24
LB+PPO0339.litmus, PASS, 34
safe562.litmus, PASS, 34
MP+PPO676.litmus, PASS, 38
IRIW+lwsync+isync.litmus, FAIL, 23
3.2W+sync+lwsync+po.litmus, FAIL, 29
safe422.litmus, PASS, 33
S+PPO688.litmus, PASS, 41
safe523.litmus, PASS, 48
LB+sync+ctrl.litmus, PASS, 22
safe414.litmus, PASS, 24
S+PPO839.litmus, PASS, 34
DETOUR1034.litmus, FAIL, 28
posrr012.litmus, PASS, 32
DETOUR0614.litmus, FAIL, 33
Z6.2+po+sync+lwsync.litmus, FAIL, 25
DETOUR0460.litmus, FAIL, 36
DETOUR0714.litmus, PASS, 31
safe368.litmus, PASS, 31
safe123.litmus, PASS, 40
3.SB+sync+lwsync+po.litmus, FAIL, 24
3.SB+lwsync+lwsync+po.litmus, FAIL, 24
WRC+lwsync+sync.litmus, PASS, 23
Z6.2+rfi-data+lwsync+lwsync.litmus, FAIL, 29
2+2WLocal.litmus, FAIL, 27
W+RWC+lwsync+po+po.litmus, FAIL, 25
DETOUR1134.litmus, FAIL, 27
safe042.litmus, PASS, 34
aclwdrr004.litmus, FAIL, 27
safe498.litmus, PASS, 35
Z6.3+po+lwsync+lwsync.litmus, FAIL, 28
Z6.4+lwsync+lwsync+sync.litmus, FAIL, 28
ISA2+sync+isync+po.litmus, FAIL, 28
WRC+isync+po.litmus, FAIL, 23
DETOUR0498.litmus, FAIL, 38
safe181.litmus, FAIL, 29
LB+PPO0296.litmus, PASS, 33
safe214.litmus, PASS, 34
safe053.litmus, PASS, 26
LB+sync+ctrlisync.litmus, PASS, 23
DETOUR0325.litmus, FAIL, 38
DETOUR1155.litmus, FAIL, 34
safe413.litmus, PASS, 42
MP+PPO397.litmus, PASS, 35
LB+PPO0351.litmus, FAIL, 37
LB+PPO0452.litmus, PASS, 38
S+PPO426.litmus, PASS, 37
DETOUR0247.litmus, FAIL, 30
WRC+po+ctrlisync.litmus, FAIL, 25
DETOUR0570.litmus, FAIL, 28
safe378.litmus, PASS, 41
Z6.1+rfi-data+sync+sync.litmus, FAIL, 35
S+PPO826.litmus, PASS, 39
WRC+sync+po.litmus, FAIL, 23
Z6.1+lwsync+sync+lwsync.litmus, PASS, 34
LB+isyncs.litmus, FAIL, 22
DETOUR0177.litmus, FAIL, 28
CO-LB.litmus, PASS, 23
DETOUR1159.litmus, FAIL, 30
Z6.3+lwsync+rfi-data+lwsync.litmus, FAIL, 31
MP+PPO495.litmus, PASS, 31
DETOUR0906.litmus, FAIL, 32
S+PPO551.litmus, PASS, 35
WRW+WR+lwsync+po.litmus, FAIL, 25
DETOUR1132.litmus, PASS, 31
DETOUR1131.litmus, PASS, 32
DETOUR1190.litmus, FAIL, 30
DETOUR0900.litmus, FAIL, 27
DETOUR1053.litmus, FAIL, 27
ISA2+sync+ctrl+po.litmus, FAIL, 27
DETOUR1270.litmus, FAIL, 32
MP+PPO467.litmus, PASS, 38
WRR+2W+lwsync+rfi-data.litmus, FAIL, 26
DETOUR1106.litmus, PASS, 30
podrwposwr031.litmus, FAIL, 35
DETOUR1164.litmus, PASS, 38
LB+PPO0420.litmus, PASS, 37
DETOUR0860.litmus, FAIL, 48
Z6.1+sync+sync+po.litmus, FAIL, 29
Z6.5+po+lwsync+po.litmus, FAIL, 29
Z6.2+sync+sync+lwsync.litmus, PASS, 30
DETOUR0280.litmus, PASS, 39
MP+PPO740.litmus, PASS, 38
3.LB+lwsyncs.litmus, PASS, 30
PPO019.litmus, PASS, 30
safe081.litmus, PASS, 36
RWC+syncs.litmus, PASS, 26
DETOUR0588.litmus, FAIL, 26
ISA2+syncs.litmus, PASS, 28
S+PPO563.litmus, PASS, 35
S+PPO432.litmus, PASS, 41
DETOUR1282.litmus, FAIL, 61
DETOUR0370.litmus, FAIL, 35
ISA2+lwsync+lwsync+sync.litmus, PASS, 30
DETOUR0178.litmus, FAIL, 27
DETOUR1076.litmus, FAIL, 29
DETOUR0446.litmus, FAIL, 37
safe399.litmus, PASS, 35
safe412.litmus, PASS, 34
ISA2+sync+data+sync.litmus, PASS, 33
safe370.litmus, PASS, 35
DETOUR0710.litmus, FAIL, 29
Z6.1+po+sync+po.litmus, FAIL, 29
DETOUR1133.litmus, PASS, 28
DETOUR0439.litmus, FAIL, 42
MP+isync+ctrlisync.litmus, FAIL, 22
CO-SB.litmus, PASS, 23
WRW+2W+lwsync+isync.litmus, FAIL, 26
W+RWC+rfi-data+lwsync+sync.litmus, FAIL, 30
DETOUR1019.litmus, FAIL, 44
aclwdrr012.litmus, FAIL, 28
Z6.4+sync+sync+lwsync.litmus, FAIL, 28
S+lwsync+sync.litmus, PASS, 26
MP+lwsync+data-wsi-rfi-ctrlisync.litmus, PASS, 32
LB+PPO0407.litmus, FAIL, 29
MP+PPO477.litmus, PASS, 37
Z6.1+sync+rfi-data+lwsync.litmus, FAIL, 33
aclwdrr026.litmus, FAIL, 33
MP+PPO343.litmus, PASS, 35
R+isyncs.litmus, FAIL, 23
DETOUR0362.litmus, FAIL, 39
DETOUR0532.litmus, FAIL, 29
LB+syncs.litmus, PASS, 24
WRC+isyncs.litmus, FAIL, 22
safe449.litmus, PASS, 36
MP+PPO720.litmus, PASS, 41
3.2W+lwsync+lwsync+rfi-data.litmus, FAIL, 46
MP+PPO643.litmus, PASS, 35
DETOUR0386.litmus, FAIL, 26
DETOUR0869.litmus, FAIL, 26
ISA2+rfi-data+data+sync.litmus, FAIL, 29
PPO014.litmus, PASS, 27
DETOUR0543.litmus, FAIL, 35
DETOUR0257.litmus, PASS, 34
Z6.0+sync+lwsync+po.litmus, FAIL, 28
safe229.litmus, PASS, 34
safe526.litmus, PASS, 34
MP+PPO721.litmus, PASS, 32
Z6.1+sync+lwsync+sync.litmus, PASS, 34
MP+PPO672.litmus, PASS, 0
safe072.litmus, PASS, 28
DETOUR0472.litmus, FAIL, 41
LB+PPO0257.litmus, PASS, 32
LB+PPO0434.litmus, PASS, 34
MP+PPO428.litmus, PASS, 31
DETOUR1206.litmus, FAIL, 33
W+RWC+po+lwsync+sync.litmus, FAIL, 25
safe384.litmus, PASS, 36
DETOUR0175.litmus, FAIL, 30
WRW+2W+sync+rfi-data.litmus, FAIL, 27
DETOUR0928.litmus, FAIL, 31
MP+PPO959.litmus, PASS, 35
DETOUR1281.litmus, FAIL, 50
DETOUR1007.litmus, FAIL, 28
safe363.litmus, PASS, 26
DETOUR1051.litmus, FAIL, 26
ISA2+lwsync+isync+ctrl.litmus, FAIL, 26
safe434.litmus, PASS, 32
DETOUR1177.litmus, FAIL, 28
safe118.litmus, PASS, 34
DETOUR1122.litmus, PASS, 32
S+PPO767.litmus, PASS, 39
DETOUR0443.litmus, FAIL, 43
safe070.litmus, PASS, 35
DETOUR0797.litmus, PASS, 31
DETOUR0500.litmus, FAIL, 34
DETOUR1337.litmus, FAIL, 31
safe253.litmus, PASS, 32
podrr011.litmus, FAIL, 29
ISA2+lwsync+po+lwsync.litmus, FAIL, 25
Z6.5+lwsync+sync+lwsync.litmus, FAIL, 30
DETOUR0533.litmus, FAIL, 26
aclwdrr016.litmus, FAIL, 28
DETOUR0281.litmus, PASS, 36
LB+PPO0481.litmus, PASS, 34
DETOUR0982.litmus, FAIL, 26
DETOUR0321.litmus, FAIL, 24
safe128.litmus, PASS, 45
DETOUR0940.litmus, FAIL, 32
DETOUR0237.litmus, PASS, 28
Z6.3+rfi-data+lwsync+sync.litmus, FAIL, 28
DETOUR0620.litmus, FAIL, 28
MP+PPO396.litmus, PASS, 34
DETOUR0937.litmus, FAIL, 33
DETOUR0457.litmus, FAIL, 27
DETOUR1061.litmus, FAIL, 27
DETOUR0801.litmus, PASS, 36
DETOUR1304.litmus, FAIL, 38
safe447.litmus, PASS, 33
S+PPO707.litmus, PASS, 33
DETOUR1317.litmus, FAIL, 35
LB+PPO0196.litmus, FAIL, 34
DETOUR0534.litmus, FAIL, 30
MP+PPO680.litmus, PASS, 32
LB+PPO0417.litmus, FAIL, 30
MP+PPO669.litmus, PASS, 32
DETOUR0812.litmus, FAIL, 29
safe212.litmus, PASS, 37
DETOUR1071.litmus, FAIL, 25
Z6.1+sync+po+po.litmus, FAIL, 29
MP+PPO943.litmus, PASS, 33
Z6.1+rfi-data+lwsync+lwsync.litmus, FAIL, 29
podrwposwr038.litmus, FAIL, 37
W5Local.litmus, FAIL, 46
safe554.litmus, PASS, 26
safe091.litmus, PASS, 33
safe281.litmus, PASS, 33
W+RWC+po+po+sync.litmus, FAIL, 25
MP+PPO645.litmus, PASS, 38
3.SB+lwsync+sync+po.litmus, FAIL, 37
S+PPO440.litmus, PASS, 32
LB+ctrlisync+data.litmus, PASS, 25
podrr003.litmus, FAIL, 26
LB+PPO0139.litmus, FAIL, 24
DETOUR0613.litmus, FAIL, 32
LB+PPO0427.litmus, FAIL, 32
MP+PPO461.litmus, PASS, 44
DETOUR1269.litmus, FAIL, 36
PPO013.litmus, PASS, 25
DETOUR0259.litmus, PASS, 35
safe143.litmus, PASS, 26
safe049.litmus, FAIL, 29
ISA2+lwsync+sync+isync.litmus, FAIL, 25
MP+lwsyncs.litmus, PASS, 23
MP+PPO489.litmus, PASS, 28
S+sync+po.litmus, FAIL, 24
LB+PPO0474.litmus, PASS, 32
Z6.4+sync+sync+po.litmus, FAIL, 25
IRIW+lwsyncs.litmus, FAIL, 23
ISA2+lwsync+po+ctrlisync.litmus, FAIL, 25
MP+PPO366.litmus, PASS, 32
DETOUR0415.litmus, FAIL, 28
safe273.litmus, PASS, 34
DETOUR1218.litmus, FAIL, 31
DETOUR0306.litmus, FAIL, 24
LB+PPO0295.litmus, PASS, 33
LB+PPO0208.litmus, FAIL, 30
DETOUR0739.litmus, FAIL, 27
safe448.litmus, PASS, 34
MP+PPO761.litmus, PASS, 30
DETOUR0384.litmus, FAIL, 23
Z6.0+po+po+sync.litmus, FAIL, 26
safe366.litmus, PASS, 32
safe105.litmus, PASS, 33
WRC+lwsync+po.litmus, FAIL, 21
LB+PPO0454.litmus, PASS, 31
MP+po+lwsync.litmus, FAIL, 20
LB+PPO0447.litmus, PASS, 30
MP+PPO333.litmus, PASS, 37
DETOUR1161.litmus, FAIL, 42
3.2W.litmus, FAIL, 43
ISA2+sync+ctrlisync+isync.litmus, FAIL, 27
DETOUR1332.litmus, FAIL, 49
MP+PPO627.litmus, PASS, 34
d3.litmus, FAIL, 21
DETOUR0506.litmus, FAIL, 27
WRC+ctrl+sync.litmus, FAIL, 26
DETOUR0556.litmus, FAIL, 24
Z6.3+lwsync+sync+lwsync.litmus, FAIL, 29
DETOUR0667.litmus, PASS, 26
ISA2+sync+lwsync+sync.litmus, PASS, 30
DETOUR0848.litmus, FAIL, 30
S+PPO710.litmus, PASS, 33
ISA2+lwsync+data+lwsync.litmus, PASS, 26
WW+RR+WW+RR+lwsyncs.litmus, FAIL, 30
safe060.litmus, PASS, 35
DETOUR1336.litmus, FAIL, 42
ISA2+sync+isync+sync.litmus, FAIL, 25
DETOUR1115.litmus, PASS, 28
DETOUR0290.litmus, FAIL, 25
DETOUR1181.litmus, FAIL, 29
MP+PPO636.litmus, PASS, 35
S+PPO564.litmus, PASS, 31
SB+sync+po.litmus, FAIL, 19
LB+ctrlisyncs.litmus, PASS, 26
MP+PPO954.litmus, PASS, 30
DETOUR0811.litmus, PASS, 36
ISA2+sync+po+ctrlisync.litmus, FAIL, 28
ISA2+rfi-data+lwsync+lwsync.litmus, FAIL, 29
IRIW+ctrlisync+ctrl.litmus, FAIL, 25
aclwdrr030.litmus, PASS, 32
2+2W+sync+isync.litmus, FAIL, 22
DETOUR1126.litmus, PASS, 28
DETOUR0576.litmus, FAIL, 25
S+PPO545.litmus, PASS, 33
S+PPO680.litmus, PASS, 33
safe151.litmus, PASS, 32
WRC+ctrl+isync.litmus, FAIL, 23
DETOUR0827.litmus, FAIL, 40
DETOUR0256.litmus, FAIL, 32
DETOUR1173.litmus, FAIL, 29
safe132.litmus, PASS, 34
S+lwsync+isync.litmus, FAIL, 21
S+PPO383.litmus, PASS, 28
DETOUR0437.litmus, FAIL, 34
safe472.litmus, PASS, 33
DETOUR0672.litmus, PASS, 29
DETOUR0810.litmus, PASS, 32
DETOUR0938.litmus, FAIL, 34
DETOUR0935.litmus, FAIL, 31
DETOUR0504.litmus, FAIL, 35
podrwposwr067.litmus, FAIL, 32
safe377.litmus, PASS, 27
Z6.2+lwsync+sync+lwsync.litmus, PASS, 28
DETOUR0800.litmus, PASS, 37
safe360.litmus, PASS, 28
