benchmark, result, time
Z6.0+lwsync+sync+lwsync.litmus, FAIL, 173
Z6.5+sync+po+lwsync.litmus, FAIL, 73
LB+PPO0253.litmus, PASS, 159
LB+PPO0378.litmus, PASS, 102
safe228.litmus, PASS, 115
safe124.litmus, PASS, 116
DETOUR0459.litmus, FAIL, 72
safe439.litmus, PASS, 139
safe488.litmus, PASS, 128
S+PPO543.litmus, PASS, 101
DETOUR0598.litmus, FAIL, 71
DETOUR1199.litmus, FAIL, 60
safe280.litmus, PASS, 260
DETOUR0750.litmus, FAIL, 65
DETOUR0337.litmus, FAIL, 68
ISA2+sync+data+isync.litmus, FAIL, 60
DETOUR0474.litmus, FAIL, 85
DETOUR0328.litmus, FAIL, 74
Z6.3+sync+rfi-data+lwsync.litmus, FAIL, 71
DETOUR1331.litmus, FAIL, 69
DETOUR0850.litmus, FAIL, 101
DETOUR0756.litmus, FAIL, 73
DETOUR0193.litmus, FAIL, 57
podwr000.litmus, FAIL, 47
safe202.litmus, PASS, 91
Z6.3+syncs.litmus, PASS, 88
DETOUR0319.litmus, FAIL, 54
DETOUR0267.litmus, PASS, 70
SB+lwsyncs.litmus, FAIL, 45
R+sync+po.litmus, FAIL, 50
safe487.litmus, PASS, 110
LB+PPO0432.litmus, FAIL, 72
DETOUR0567.litmus, FAIL, 64
DETOUR1142.litmus, FAIL, 59
DETOUR0270.litmus, FAIL, 60
DETOUR0282.litmus, FAIL, 74
aclwdrr033.litmus, PASS, 91
DETOUR0198.litmus, FAIL, 54
IRIW+lwsync+sync.litmus, FAIL, 57
aclwdrr001.litmus, FAIL, 66
DETOUR0760.litmus, PASS, 106
DETOUR0246.litmus, PASS, 90
DETOUR1272.litmus, FAIL, 58
S+sync+data.litmus, PASS, 61
DETOUR0505.litmus, FAIL, 95
safe376.litmus, PASS, 79
DETOUR0684.litmus, PASS, 80
S+sync+isync.litmus, FAIL, 47
podrw001.litmus, FAIL, 60
W+RWC+lwsync+sync+po.litmus, FAIL, 51
DETOUR1042.litmus, FAIL, 57
Z6.3+lwsync+po+sync.litmus, FAIL, 58
DETOUR1070.litmus, FAIL, 58
MP+PPO946.litmus, PASS, 88
WRW+WR+lwsync+sync.litmus, FAIL, 49
S+PPO536.litmus, PASS, 102
S+po+sync.litmus, FAIL, 45
WRC+lwsync+ctrl.litmus, FAIL, 49
3.SB+lwsyncs.litmus, FAIL, 58
safe129.litmus, PASS, 116
S+isyncs.litmus, FAIL, 47
ISA2+lwsync+po+ctrl.litmus, FAIL, 52
safe125.litmus, PASS, 96
IRIW+sync+lwsync.litmus, FAIL, 49
LB+PPO0343.litmus, FAIL, 56
3.LB.litmus, FAIL, 47
DETOUR0931.litmus, FAIL, 73
DETOUR0262.litmus, PASS, 63
2+2WLocalFenced.litmus, FAIL, 66
DETOUR0999.litmus, FAIL, 62
safe500.litmus, PASS, 143
ISA2+sync+lwsync+ctrlisync.litmus, PASS, 64
DETOUR1060.litmus, FAIL, 60
safe431.litmus, PASS, 113
LB+PPO0263.litmus, PASS, 68
S+PPO846.litmus, PASS, 63
DETOUR1220.litmus, FAIL, 58
DETOUR0725.litmus, FAIL, 51
DETOUR0557.litmus, FAIL, 60
RWC+lwsync+isync.litmus, FAIL, 44
IRIW+isync+ctrlisync.litmus, FAIL, 47
