benchmark, result, time
amd3.litmus, FAIL, 66
WW+WW+WR+WR+po+po+po+rfi-po.litmus, FAIL, 70
RR+WR+rmw-po+po.litmus, FAIL, 50
R+po+mfence-pos-po.litmus, PASS, 48
MP+po+po-po.litmus, PASS, 46
S+mfence-rmw+rmw-po.litmus, FAIL, 58
SB+rfi-pos.litmus, FAIL, 36
WW+WR+WR+WR+po+po+mfence+rfi-po.litmus, FAIL, 59
WW+WW+WW+RW.litmus, FAIL, 60
podrw001.litmus, FAIL, 43
WW+WR+WW+WR+po+rfi-po+po+rfi-po.litmus, FAIL, 87
3.LB.litmus, FAIL, 52
WW+WR+WR+WR+po+rfi-po+mfence+po.litmus, FAIL, 69
m13f.litmus, FAIL, 42
2+2W+po-rmws.litmus, FAIL, 56
MP+po+fri-mfence-po.litmus, PASS, 48
WW+WR+WR+WR+po+rfi-po+rfi-po+po.litmus, FAIL, 74
3.SB+mfences.litmus, FAIL, 53
iriw.2.litmus, PASS, 52
WW+WR+WW+WR+po+rfi-po+po+po.litmus, FAIL, 69
RW+WR+rmw-po+rfi-po.litmus, FAIL, 52
m13.litmus, FAIL, 40
WW+RR+WR+WR+po+po+mfence+mfence.litmus, FAIL, 66
R+po+po-pos-pos.litmus, FAIL, 46
classic.litmus, FAIL, 36
MP+po+po-pos-pos.litmus, PASS, 54
n4b.litmus, FAIL, 48
R+po+po-fri-rfi.litmus, PASS, 56
W+RWC+po+po+mfence.litmus, FAIL, 49
R+po+rfi-po-rfi.litmus, PASS, 58
R+po-rmw+mfence.litmus, FAIL, 54
R+rfi-pos.litmus, FAIL, 46
WW+WW+WW+WR+po+po+po+rfi-po.litmus, FAIL, 71
WW+RR+WW+RW.litmus, FAIL, 61
W+RR+WR+WR+po+mfence+po.litmus, FAIL, 57
MP+mfence-rmw+rmw-mfence.litmus, FAIL, 60
R+po+po-pos.litmus, FAIL, 39
rwc-fenced.litmus, PASS, 50
W+RR+WW+WR+po+po+rfi-po.litmus, FAIL, 66
m11.litmus, FAIL, 50
WW+WW+WR+WR+po+po+mfence+mfence.litmus, FAIL, 63
mfence2.litmus, FAIL, 57
iwp2.7-amd7.litmus, FAIL, 55
W+RW+RW+WW.litmus, FAIL, 61
4.SB+rfi-pos.litmus, FAIL, 61
m34if.litmus, FAIL, 44
S+po+po-rmw.litmus, FAIL, 50
WW+WR+WR+WR+po+mfence+po+mfence.litmus, FAIL, 57
m44i.litmus, FAIL, 39
MP+po+fri-po-po.litmus, PASS, 51
R+po+mfence-pos.litmus, PASS, 49
4.SB+mfence+po+po+po.litmus, FAIL, 60
MP+po-rmw+po.litmus, FAIL, 46
4.SB+mfence+po+rfi-po+po.litmus, FAIL, 63
WW+RW+RW+RW.litmus, FAIL, 66
W+RW+RR+WR+po+po+rfi-po.litmus, FAIL, 59
LB+rmw-po+po-rmw.litmus, FAIL, 58
W+RW+WR+WR+po+mfence+mfence.litmus, FAIL, 55
W+RW+RR+WW.litmus, FAIL, 57
MP+po+po-po-pos001.litmus, PASS, 47
MP+po+fri-po-pos.litmus, PASS, 49
4.SB+mfence+po+po+rfi-po.litmus, FAIL, 56
MP+po+fri-po-po001.litmus, PASS, 46
R+rfi-po+po-rfi-po.litmus, FAIL, 37
R+mfence-rmw+mfence.litmus, FAIL, 47
irreduc2.litmus, FAIL, 52
MP+po+po-po-mfence001.litmus, PASS, 46
4.SB+po+rfi-po+po+rfi-po.litmus, FAIL, 63
WW+RW+WR+WR+po+po+mfence+mfence.litmus, FAIL, 57
Z6.4+po+po+mfence.litmus, FAIL, 50
MP+po+po-po-rfi.litmus, PASS, 52
WW+WW+WR+WR+po+po+mfence+rfi-po.litmus, FAIL, 58
MP+po+pos-po-rfi.litmus, PASS, 50
Z6.4+po+rfi-po+mfence.litmus, FAIL, 55
WW+WW+RW+WR+po+po+po+rfi-po.litmus, FAIL, 69
MP+po+po-po-pos.litmus, PASS, 50
MP+po+po-mfence-po.litmus, PASS, 48
SB3.litmus, FAIL, 41
R+po+mfence-po-pos.litmus, PASS, 49
SB+mfences.litmus, PASS, 49
iwp2.3.b.half.litmus, FAIL, 34
m55.litmus, FAIL, 65
iriw-internal.litmus, FAIL, 37
WW+RR+WW+WR+po+po+po+rfi-po.litmus, FAIL, 68
MP+po+pos-po-pos.litmus, PASS, 50
m25.litmus, FAIL, 50
WW+RR+WW+RR.litmus, FAIL, 62
R+po+po-po-pos.litmus, FAIL, 45
W+RW+RW+RR.litmus, FAIL, 59
4.SB+mfence+rfi-po+mfence+rfi-po.litmus, FAIL, 61
3.2W.litmus, FAIL, 50
m22.litmus, FAIL, 40
MP+po+po-pos.litmus, PASS, 44
4.SB+mfence+mfence+rfi-po+po.litmus, FAIL, 57
SB+FENCE.litmus, FAIL, 42
6.SB.litmus, FAIL, 55
MP+po+po-rfi-pos.litmus, PASS, 52
WW+WR+WR+WR+po+mfence+rfi-po+rfi-po.litmus, FAIL, 59
W+RW+RR+WR.litmus, FAIL, 54
RR+WR+rmw-mfence+mfence.litmus, FAIL, 43
W+RW+WR+WR+po+po+mfence.litmus, FAIL, 52
WW+WR+WR+WR+po+rfi-po+po+rfi-po.litmus, FAIL, 70
R+po+po-pos-po.litmus, FAIL, 36
R+po+po-wsi-mfence.litmus, PASS, 48
WW+RW+WR+WR+po+po+po+mfence.litmus, FAIL, 55
amd6.litmus, PASS, 50
W+RW+WR+WW.litmus, FAIL, 58
WW+RW+RR+WR.litmus, FAIL, 55
R+po+po-po-rfi.litmus, PASS, 49
n5.litmus, FAIL, 46
