benchmark, result, time
ttas-5.c, N/A, 1800000
ttas-5-acq2rx.c, FAIL, 46
ttas-5-rel2rx.c, FAIL, 36
ticketlock-3.c, PASS, 39
ticketlock-3-acq2rx.c, FAIL, 35
ticketlock-3-rel2rx.c, FAIL, 33
mutex-3.c, PASS, 1657
mutex-3-acq2rx-futex.c, PASS, 3696
mutex-3-acq2rx-lock.c, FAIL, 34
mutex-3-rel2rx-futex.c, PASS, 4331
mutex-3-rel2rx-unlock.c, FAIL, 36
spinlock-5.c, PASS, 13669
spinlock-5-acq2rx.c, FAIL, 38
spinlock-5-rel2rx.c, FAIL, 56
linuxrwlock-3.c, PASS, 49
linuxrwlock-3-acq2rx.c, FAIL, 37
linuxrwlock-3-rel2rx.c, FAIL, 37
mutex_musl-3.c, PASS, 209
mutex_musl-3-acq2rx-futex.c, PASS, 326
mutex_musl-3-acq2rx-lock.c, FAIL, 37
mutex_musl-3-rel2rx-futex.c, PASS, 333
mutex_musl-3-rel2rx-unlock.c, FAIL, 38
